initNo 0.01 0.025 0.05 0.075 0.1 0.125 
0 199 113 199 71 107 199 
1 199 199 199 35 98 44 
2 199 83 134 89 149 77 
3 182 199 98 32 56 134 
4 199 199 77 47 38 29 
5 155 89 110 65 50 26 
6 199 182 59 53 95 131 
7 199 167 104 83 35 29 
8 116 77 50 59 26 134 
9 179 110 77 53 71 44 
10 199 199 113 179 56 35 
11 199 199 65 44 41 38 
12 199 199 134 95 56 32 
13 199 164 119 199 53 92 
14 199 146 173 101 77 110 
15 199 140 62 50 158 53 
16 199 199 191 65 107 65 
17 199 199 95 110 185 199 
18 199 199 125 176 53 41 
19 191 71 41 134 113 26 
20 199 199 161 125 98 86 
21 199 199 199 53 116 77 
22 199 199 199 50 125 158 
23 199 199 71 152 47 35 
24 128 71 50 53 199 44 
25 182 199 14 44 38 32 
26 199 199 92 71 32 32 
27 199 143 71 199 35 98 
28 199 199 83 53 35 35 
29 161 74 41 161 38 32 
30 199 116 56 50 26 128 
31 199 131 199 167 56 32 
32 199 140 62 50 122 179 
33 199 152 98 53 44 38 
34 199 83 199 41 56 29 
35 107 50 199 131 53 197 
36 188 199 62 41 41 32 
37 199 199 92 134 38 80 
38 199 185 74 131 44 44 
39 199 199 119 98 92 47 
40 199 116 110 59 47 41 
41 199 119 199 173 199 44 
42 185 89 89 199 146 50 
43 199 83 41 50 44 41 
44 199 155 137 53 41 122 
45 170 89 101 68 86 86 
46 199 199 182 89 50 44 
47 199 199 92 56 62 20 
48 199 199 110 53 47 56 
49 199 101 199 71 62 50 
50 199 131 191 74 59 86 
51 182 95 83 199 35 89 
52 199 199 128 137 143 95 
53 199 125 161 62 98 155 
54 199 137 134 59 44 56 
55 199 199 199 199 35 44 
56 122 71 71 68 50 32 
57 199 199 95 146 158 65 
58 199 89 41 86 41 125 
59 199 199 199 182 128 86 
60 149 86 71 143 62 44 
61 199 107 77 86 71 122 
62 199 199 199 98 131 74 
63 199 149 199 56 164 74 
64 199 199 74 143 119 26 
65 199 199 59 44 41 80 
66 199 170 128 199 122 170 
67 199 149 199 170 128 59 
68 199 199 122 119 104 83 
69 199 199 199 71 44 98 
70 199 104 170 113 50 143 
71 199 101 56 47 68 65 
72 199 199 95 47 44 23 
73 167 199 199 182 50 38 
74 182 199 199 59 152 113 
75 199 113 38 68 113 95 
76 146 89 143 199 80 182 
77 199 199 143 155 116 68 
78 199 110 137 53 35 89 
79 199 182 199 199 191 101 
80 199 199 95 65 38 38 
81 176 199 95 152 59 92 
82 199 146 125 53 23 83 
83 199 199 137 47 44 56 
84 199 167 199 47 35 44 
85 199 199 199 131 44 68 
86 155 199 59 107 56 32 
87 199 140 122 38 41 38 
88 155 86 199 86 146 38 
89 199 199 74 161 92 80 
90 199 199 179 50 92 107 
91 199 176 182 56 35 32 
92 199 179 62 158 131 59 
93 199 143 170 199 41 47 
94 199 199 104 77 53 56 
95 199 199 98 68 101 41 
96 199 199 80 110 113 104 
97 199 199 199 107 41 74 
98 199 122 199 128 53 89 
99 199 119 199 50 182 83 
100 199 199 125 119 89 95 
