initNo 0.15 0.175 0.2 0.225 0.25 
0 95 98 80 68 59 
1 89 92 92 80 77 
2 83 80 80 65 62 
3 149 104 77 95 83 
4 65 83 71 86 68 
5 62 65 65 74 47 
6 62 80 74 80 65 
7 77 77 122 110 80 
8 128 104 77 74 80 
9 122 98 62 122 89 
10 71 77 80 77 71 
11 65 71 71 65 62 
12 53 80 80 71 89 
13 59 83 80 83 83 
14 92 89 95 71 80 
15 77 29 83 68 68 
16 62 74 71 77 68 
17 89 77 59 71 92 
18 143 101 86 86 98 
19 71 74 83 74 83 
20 62 77 74 74 53 
21 68 80 68 56 77 
22 92 83 62 68 74 
23 107 104 80 77 80 
24 89 86 83 80 74 
25 92 104 104 68 68 
26 59 59 65 59 65 
27 50 77 62 50 80 
28 104 104 92 104 89 
29 131 110 77 65 77 
30 77 77 65 95 74 
31 92 143 71 140 107 
32 71 80 62 80 56 
33 92 104 17 122 77 
34 122 104 83 74 44 
35 89 26 74 92 104 
36 80 68 77 74 50 
37 65 80 74 35 68 
38 113 110 158 143 68 
39 131 131 101 71 74 
40 95 137 113 62 101 
41 68 155 77 98 98 
42 74 89 68 74 104 
43 65 83 44 77 74 
44 86 53 50 65 77 
45 80 74 83 86 104 
46 56 104 74 68 86 
47 62 77 86 68 92 
48 101 101 89 74 83 
49 62 59 74 62 71 
50 80 53 50 53 65 
51 74 56 50 65 86 
52 59 80 74 56 56 
53 68 134 86 59 119 
54 89 80 65 56 80 
55 74 83 101 80 77 
56 68 101 122 92 107 
57 140 131 146 92 104 
58 86 89 71 65 110 
59 83 62 74 86 98 
60 65 86 80 80 68 
61 86 68 71 65 56 
62 140 95 62 83 59 
63 95 68 71 68 86 
64 77 71 77 83 53 
65 77 92 80 77 65 
66 92 65 86 92 83 
67 113 116 92 77 77 
68 62 107 131 104 86 
69 107 107 83 92 98 
70 32 68 80 98 101 
71 101 95 86 83 92 
72 137 194 77 50 146 
73 80 92 77 83 56 
74 89 77 74 83 110 
75 68 83 83 65 59 
76 89 56 71 65 71 
77 68 65 71 74 65 
78 98 146 116 71 89 
79 101 65 134 110 98 
80 47 86 80 83 71 
81 83 125 104 86 44 
82 98 95 80 65 98 
83 80 71 80 80 92 
84 80 74 71 65 62 
85 95 71 92 74 65 
86 74 92 65 95 86 
87 98 164 167 59 83 
88 137 50 98 98 59 
89 101 119 83 68 68 
90 71 74 71 134 101 
91 77 83 38 143 62 
92 74 113 107 113 95 
93 101 101 44 155 128 
94 71 83 62 86 62 
95 98 122 101 47 83 
96 83 140 125 161 182 
97 86 95 119 134 71 
98 74 68 80 77 38 
99 68 65 62 83 74 
100 104 98 146 68 134 
101 125 92 101 89 125 
102 107 92 86 92 107 
103 119 98 80 86 80 
104 92 131 92 77 86 
105 71 80 80 77 59 
106 101 122 107 95 98 
107 89 77 68 86 62 
108 62 74 74 74 74 
109 65 47 50 68 77 
110 92 98 59 77 41 
111 86 116 92 68 104 
112 47 110 149 140 104 
113 86 68 77 86 68 
114 74 107 98 86 59 
115 104 104 107 98 134 
116 155 137 116 68 65 
117 68 95 77 77 86 
118 92 83 98 29 77 
119 80 80 56 125 119 
120 101 113 71 65 137 
121 101 71 83 80 89 
122 119 104 92 74 83 
123 62 44 98 68 83 
124 74 77 65 77 62 
125 80 62 62 86 80 
126 62 62 80 95 86 
127 98 59 47 104 199 
128 125 164 140 104 113 
129 86 98 56 47 110 
130 107 44 62 89 83 
131 71 20 59 86 80 
132 92 89 80 77 92 
133 110 92 77 89 128 
134 83 113 92 86 113 
135 95 86 92 56 89 
136 80 104 140 80 122 
137 77 86 71 80 65 
138 74 134 71 71 47 
139 47 44 59 56 68 
140 56 83 89 71 89 
141 119 86 95 68 116 
142 77 74 80 68 68 
143 86 77 104 83 68 
144 53 65 83 65 71 
145 128 104 92 74 101 
146 80 86 56 29 110 
147 47 119 92 74 32 
148 98 92 86 80 71 
149 32 74 110 119 56 
150 119 122 83 62 86 
151 53 77 71 65 74 
152 74 77 122 113 77 
153 80 71 44 101 56 
154 122 92 92 89 95 
155 68 77 68 71 59 
156 62 50 47 53 80 
157 95 113 74 74 77 
158 98 89 65 92 134 
159 92 89 71 77 86 
160 95 86 80 68 65 
161 95 77 92 83 71 
162 116 155 83 83 80 
163 119 62 89 77 65 
164 62 65 56 77 56 
165 146 155 86 77 101 
166 110 77 89 83 104 
167 152 71 92 101 86 
168 89 83 86 77 53 
169 53 95 89 77 80 
170 140 83 77 74 62 
171 71 80 83 80 86 
172 158 113 107 98 68 
173 92 29 134 98 122 
174 71 71 74 89 80 
175 62 71 128 107 86 
176 71 44 53 77 137 
177 80 77 95 86 65 
178 80 74 77 44 89 
179 71 65 83 80 68 
180 83 110 95 89 74 
181 89 83 89 179 59 
182 74 80 83 62 83 
183 113 92 95 74 83 
184 71 62 86 77 74 
185 71 95 71 71 62 
186 95 101 59 89 65 
187 77 110 83 86 68 
188 68 110 68 89 101 
189 68 134 101 32 101 
190 113 53 131 80 83 
191 80 80 65 74 83 
192 185 95 98 65 56 
193 107 101 101 137 80 
194 86 71 119 74 83 
195 95 146 83 86 140 
196 74 80 77 83 53 
197 68 68 92 185 101 
198 80 119 59 62 50 
199 80 92 95 77 86 
