0 47 40 50 48 54 199 90 199 199 
1 56 57 52 49 42 80 199 105 199 
2 43 38 49 65 65 124 75 199 199 
3 17 43 43 44 77 199 123 148 151 
4 34 36 38 41 71 199 199 199 199 
5 25 31 40 38 52 144 129 199 199 
6 41 52 51 62 76 67 109 117 199 
7 30 27 34 35 45 72 178 199 199 
8 68 40 59 59 58 39 199 199 199 
9 22 58 48 55 58 87 116 60 199 
10 26 37 46 41 61 97 199 199 199 
11 48 47 46 51 52 54 150 199 199 
12 30 45 67 68 132 81 76 199 199 
13 22 41 58 51 38 101 67 171 199 
14 26 32 31 39 47 72 99 199 199 
15 55 39 35 32 42 35 83 69 199 
16 48 51 47 40 52 111 79 199 199 
17 30 41 59 44 50 65 61 151 199 
18 35 64 37 74 51 69 199 188 199 
19 17 26 28 27 30 143 199 199 199 
20 51 54 46 37 62 151 199 199 199 
21 42 62 63 61 46 61 86 199 199 
22 40 46 51 63 70 52 199 199 199 
23 34 28 39 46 43 112 199 199 199 
24 34 54 57 52 90 53 199 199 175 
25 24 33 34 28 38 47 199 199 199 
26 47 48 53 49 44 66 82 199 199 
27 38 36 39 34 44 47 146 199 199 
28 25 62 66 50 45 60 58 199 199 
29 39 49 41 42 46 42 79 199 199 
30 39 35 39 48 50 80 57 199 199 
31 89 46 52 61 92 92 199 199 199 
32 40 35 41 34 49 95 55 199 199 
33 40 37 40 37 98 199 199 143 199 
34 14 49 56 50 81 83 94 199 199 
35 28 53 38 42 90 143 199 90 199 
36 61 44 46 42 52 199 149 199 199 
37 37 40 42 42 65 134 199 199 199 
38 38 47 43 45 44 199 199 199 199 
39 14 51 45 45 39 41 58 98 199 
40 37 36 40 32 48 138 199 199 199 
41 50 40 46 46 40 60 153 171 199 
42 49 41 30 41 47 40 199 199 199 
43 21 21 35 80 68 73 180 199 199 
44 45 43 36 48 47 48 36 197 199 
45 51 51 32 35 31 61 199 164 199 
46 20 57 78 61 52 85 101 199 199 
47 45 37 53 50 62 69 109 199 199 
48 41 44 42 46 51 44 76 199 60 
