0 164 56 62 65 71 62 71 74 71 71 35 62 65 68 80 80 65 65 71 62 65 92 77 53 59 104 122 62 107 98 110 199 143 
1 185 98 80 53 71 68 50 62 65 71 41 62 56 62 59 62 47 50 47 44 56 44 50 41 71 83 125 131 170 158 176 199 199 
2 122 68 50 41 68 44 68 62 65 65 65 29 68 50 65 71 47 29 35 53 77 71 56 80 104 113 86 92 125 65 199 38 199 
3 128 65 65 53 29 53 56 47 65 62 32 26 41 62 68 56 68 59 50 56 65 77 35 59 101 47 83 44 101 95 164 199 101 
4 95 62 59 68 50 53 68 62 56 65 59 56 38 35 38 65 86 59 71 62 56 65 86 38 125 35 104 122 116 83 104 44 199 
5 128 53 74 50 59 62 41 62 11 56 62 65 38 65 44 71 71 92 74 56 56 71 47 77 71 47 62 59 95 199 116 140 199 
6 80 77 32 65 65 44 59 41 62 50 38 38 50 53 59 62 56 35 59 44 50 38 68 68 95 74 101 74 65 53 68 199 199 
7 119 71 53 50 71 50 68 56 59 47 65 47 56 59 53 50 65 68 71 71 122 32 95 47 74 74 199 98 89 199 113 50 122 
8 137 56 77 62 59 68 59 74 68 62 41 71 44 77 83 62 59 68 41 35 53 59 80 86 71 65 80 199 155 113 199 199 199 
9 95 47 68 59 71 50 71 62 77 44 71 56 62 77 65 65 44 80 68 47 59 38 74 68 89 59 68 179 188 161 199 199 199 
10 146 86 80 62 50 68 74 65 62 50 59 53 77 56 65 59 74 50 53 68 104 59 41 95 95 119 98 125 199 161 199 170 170 
11 95 47 32 59 59 62 56 56 59 59 59 47 53 50 71 62 59 71 74 68 50 53 68 104 74 92 86 77 98 83 199 199 95 
12 199 86 71 47 59 41 53 59 77 44 50 38 26 62 44 35 62 59 80 35 62 38 80 74 65 83 95 110 86 101 110 199 199 
13 101 53 56 44 62 56 56 59 65 65 68 53 74 50 44 77 35 47 59 53 29 116 50 29 47 65 47 50 65 53 68 131 199 
14 50 50 80 59 53 65 56 41 50 50 50 56 65 68 62 74 65 62 62 77 65 62 59 44 62 77 62 44 47 199 199 199 199 
15 116 65 68 59 35 50 59 44 50 65 62 23 62 47 65 62 47 56 26 41 77 71 50 59 71 74 62 44 143 199 182 122 199 
16 101 71 59 56 74 65 47 59 65 62 71 56 53 62 62 89 83 83 65 47 59 62 95 68 44 86 71 140 128 158 199 191 199 
17 152 86 77 71 77 68 50 74 41 50 77 65 77 68 77 44 74 44 77 26 41 74 56 74 41 89 23 98 83 101 199 199 199 
18 140 65 83 65 62 59 59 77 77 77 62 65 53 56 68 80 80 71 68 80 86 95 80 38 74 95 95 83 59 80 199 104 179 
19 116 59 59 74 56 65 47 59 65 53 59 26 68 62 62 59 56 47 62 56 53 65 65 86 68 101 83 128 71 83 122 122 113 
20 179 59 59 56 62 62 50 71 53 35 89 68 74 59 56 65 71 56 68 53 74 50 53 65 44 23 107 98 95 137 199 199 199 
