initNo 0.15 0.175 0.2 0.225 0.25 
0 92 44 62 199 50 
1 32 47 101 47 47 
2 68 68 191 50 26 
3 26 38 35 199 86 
4 62 128 95 32 119 
5 38 199 32 185 68 
6 47 41 83 92 95 
7 38 32 32 26 74 
8 68 47 38 32 32 
9 116 32 104 116 32 
10 35 53 89 41 56 
11 62 71 119 38 38 
12 59 29 56 86 62 
13 104 80 14 29 80 
14 116 86 44 26 41 
15 35 199 23 104 20 
16 68 50 95 164 53 
17 101 92 53 83 47 
18 98 116 26 68 38 
19 95 29 89 77 158 
20 29 199 41 32 101 
21 92 38 92 199 56 
22 77 107 137 29 53 
23 23 137 110 38 110 
24 26 59 68 29 20 
25 38 38 199 29 179 
26 26 23 26 29 23 
27 122 199 35 116 32 
28 29 17 26 199 86 
29 74 83 152 89 29 
30 50 44 95 107 77 
31 38 86 29 20 95 
32 41 98 41 32 68 
33 17 35 32 44 17 
34 23 26 95 53 32 
35 47 26 62 53 38 
36 71 47 199 128 65 
37 92 41 23 41 29 
38 44 62 199 38 199 
39 53 65 44 110 44 
40 23 98 68 104 86 
41 199 143 32 95 17 
42 65 143 38 68 71 
43 29 29 20 122 199 
44 62 53 20 199 20 
45 26 29 116 77 68 
46 26 161 20 119 77 
47 26 32 80 53 23 
48 62 38 59 41 155 
49 38 47 38 62 74 
50 35 68 20 29 47 
51 77 44 50 122 23 
52 68 29 23 95 47 
53 131 71 38 29 23 
54 38 35 41 95 80 
55 44 92 116 41 44 
56 113 62 53 35 137 
57 38 199 83 116 101 
58 92 92 98 56 65 
59 47 59 56 38 47 
60 29 113 62 32 158 
61 146 113 23 65 98 
62 104 23 199 29 77 
63 101 23 68 20 71 
64 29 80 179 74 47 
65 17 23 50 53 59 
66 137 176 134 50 113 
67 71 29 50 83 119 
68 35 59 71 101 41 
69 26 23 56 32 56 
70 110 38 23 191 83 
71 29 26 65 32 29 
72 47 92 41 20 104 
73 199 41 74 68 26 
74 35 23 53 101 29 
75 44 44 199 95 107 
76 89 98 83 35 38 
77 89 65 62 92 38 
78 71 199 50 32 95 
79 56 59 101 47 29 
80 53 50 71 56 41 
81 50 179 41 56 116 
82 59 65 20 140 122 
83 29 56 119 47 41 
84 41 104 65 137 77 
85 32 164 56 29 185 
86 104 56 38 199 35 
87 35 56 199 50 95 
88 26 50 32 98 26 
89 77 26 83 116 35 
90 23 199 107 65 38 
91 164 17 26 56 122 
92 38 23 41 32 41 
93 80 32 199 50 140 
94 38 83 56 41 158 
95 77 71 17 116 74 
96 86 122 32 50 131 
97 56 26 59 53 38 
98 26 140 29 65 113 
99 32 14 29 17 32 
100 77 77 35 89 59 
101 53 77 107 41 152 
102 44 38 53 128 62 
103 95 131 92 35 32 
104 68 23 44 182 44 
105 74 47 29 38 107 
106 53 29 128 68 29 
107 62 89 35 71 74 
108 59 59 50 26 116 
109 92 98 44 71 101 
110 59 23 32 38 137 
111 62 167 71 95 47 
112 20 53 23 44 143 
113 50 62 158 44 86 
114 140 41 53 56 41 
115 41 199 83 140 50 
116 35 38 20 113 53 
117 53 38 38 35 107 
118 38 32 68 128 77 
119 20 20 35 26 110 
120 29 26 77 80 199 
121 17 65 65 95 71 
122 116 29 104 77 41 
123 92 71 92 53 29 
124 32 23 47 104 38 
125 53 77 71 83 77 
126 20 26 38 83 149 
127 125 56 77 68 71 
128 26 29 29 29 199 
129 68 110 17 41 38 
130 32 68 104 32 104 
131 74 35 17 62 35 
132 38 23 62 62 83 
133 68 62 107 44 89 
134 53 38 199 152 182 
135 56 29 32 32 50 
136 26 26 23 83 199 
137 104 173 134 44 77 
138 98 50 53 140 41 
139 17 23 83 29 41 
140 95 62 20 50 59 
141 199 199 47 26 56 
142 80 74 80 199 53 
143 35 29 56 35 47 
144 59 38 14 98 32 
145 101 23 32 44 131 
146 29 56 50 101 26 
147 149 41 50 38 182 
148 140 17 20 71 32 
149 98 125 26 86 74 
150 38 17 199 44 17 
151 38 113 62 92 23 
152 35 32 50 53 53 
153 38 68 32 26 38 
154 29 188 65 53 199 
155 116 50 20 65 23 
156 113 65 199 23 199 
157 29 59 53 41 62 
158 26 86 74 86 199 
159 20 53 65 20 80 
160 119 86 20 41 59 
161 199 197 50 44 71 
162 199 26 29 44 199 
163 17 65 92 56 26 
164 59 20 83 29 50 
165 164 146 23 38 92 
166 74 65 116 14 17 
167 199 134 71 59 29 
168 125 35 26 56 107 
169 14 26 56 68 47 
170 50 29 20 41 26 
171 32 50 152 98 125 
172 47 26 38 98 71 
173 47 50 50 83 122 
174 26 38 44 50 47 
175 41 199 20 26 92 
176 29 101 95 29 143 
177 44 41 199 44 74 
178 62 47 32 32 44 
179 20 23 122 44 44 
180 32 74 32 56 59 
181 116 98 35 68 47 
182 35 65 116 44 56 
183 38 50 71 176 44 
184 98 89 20 53 77 
185 101 20 17 26 29 
186 59 29 26 32 164 
187 74 32 35 29 47 
188 44 47 101 65 68 
189 20 199 83 32 199 
190 89 32 38 20 32 
191 53 29 50 29 32 
192 89 53 89 110 164 
193 107 35 35 125 56 
194 80 56 26 20 38 
195 56 107 41 32 59 
196 53 14 20 23 164 
197 41 62 56 38 53 
198 20 23 38 41 32 
199 23 38 50 35 68 
