0 116 63 49 62 61 57 62 74 56 90 76 91 175 199 93 199 199 199 158 199 
1 113 75 55 75 62 66 70 77 199 77 103 199 112 93 199 165 199 199 199 199 
2 87 85 62 61 79 57 67 69 84 60 199 142 199 199 115 199 199 199 199 199 
3 43 42 85 71 83 75 199 67 67 166 77 159 176 199 199 135 115 199 199 199 
4 63 34 36 37 37 56 52 64 89 199 66 71 120 199 199 199 199 199 199 199 
5 116 55 90 51 57 55 105 80 113 106 81 81 199 199 199 135 199 199 199 199 
6 58 58 34 38 69 90 76 68 110 105 70 162 199 105 199 199 199 199 199 199 
7 90 62 47 56 70 90 65 103 97 65 199 71 197 199 168 199 199 199 199 199 
8 84 63 58 61 46 55 64 81 73 84 199 199 137 199 149 199 142 199 199 199 
9 47 28 91 50 56 102 84 92 103 82 199 98 199 119 199 199 199 199 199 199 
10 68 61 65 57 78 80 71 80 199 128 132 124 132 113 95 199 99 199 199 199 
11 64 50 58 53 53 52 66 75 97 68 76 86 199 199 199 136 199 199 199 199 
12 54 53 46 47 55 70 86 64 51 199 189 113 72 199 147 199 199 199 199 199 
13 76 42 48 47 45 64 59 137 199 89 199 80 199 84 199 199 199 199 199 199 
14 65 44 62 62 88 63 80 80 81 81 86 161 91 112 138 199 199 199 199 199 
15 111 56 53 41 49 80 121 73 65 83 80 101 163 199 199 199 144 199 199 199 
16 28 74 37 69 96 72 62 66 199 96 68 199 103 199 72 199 112 199 199 199 
17 41 31 63 80 68 60 128 97 65 188 87 89 199 199 199 199 199 199 199 199 
18 40 37 71 56 60 77 63 75 123 88 199 199 168 199 199 162 199 197 199 199 
19 36 41 84 89 74 66 64 75 104 95 136 154 199 162 130 199 199 199 199 199 
20 66 79 44 95 52 107 113 134 57 168 84 199 148 108 199 199 199 133 199 199 
21 79 56 85 88 69 70 51 64 83 75 138 110 199 184 179 199 199 199 199 199 
22 77 66 81 53 47 52 80 61 121 80 199 116 199 199 199 199 131 199 199 199 
23 48 46 41 43 55 62 91 79 132 109 90 199 97 199 199 150 199 199 199 199 
24 126 62 67 63 58 51 85 199 199 80 199 199 124 199 199 114 199 177 199 199 
25 120 58 54 67 71 50 95 59 199 66 199 199 128 114 199 184 100 199 199 199 
26 72 86 62 53 63 72 60 75 100 114 89 199 199 199 199 181 192 139 199 199 
27 47 68 68 56 48 82 97 63 76 79 199 103 109 119 199 116 199 199 199 199 
28 44 56 41 55 70 67 63 65 199 60 97 93 199 199 137 199 199 199 199 199 
29 22 64 55 55 51 45 77 129 80 199 120 86 133 199 91 175 199 199 199 199 
30 68 44 78 54 76 49 76 119 124 78 74 153 104 199 199 199 194 199 199 199 
31 62 33 38 49 43 59 88 199 199 74 73 199 125 199 160 199 199 199 199 199 
32 118 25 48 47 38 70 108 199 118 72 100 199 136 100 199 199 199 199 198 199 
33 70 22 41 50 72 60 82 199 68 79 87 102 87 145 199 199 199 199 199 199 
34 92 68 60 65 94 103 102 56 199 144 64 199 86 199 199 161 199 199 199 199 
35 53 23 29 65 73 87 71 79 95 199 77 199 199 199 199 199 192 188 199 199 
36 52 52 52 53 55 86 57 90 72 90 199 199 199 98 93 199 199 199 199 199 
37 50 55 81 71 60 92 58 53 112 64 93 199 75 106 199 199 199 199 199 199 
38 77 54 39 65 49 115 63 71 70 116 130 119 199 126 94 199 199 199 199 199 
39 59 50 79 57 55 69 111 76 60 71 91 199 199 83 199 199 199 199 199 199 
40 34 54 51 50 57 62 111 72 199 199 78 68 78 199 199 199 199 199 199 199 
41 25 103 56 113 58 73 77 70 136 181 199 199 199 199 199 199 199 199 114 199 
42 40 52 41 49 58 37 62 50 199 70 68 76 195 199 199 199 199 199 199 199 
43 78 49 64 60 54 178 69 61 77 74 199 162 199 199 133 199 103 199 199 199 
44 42 66 55 78 67 81 70 82 112 80 123 199 104 199 199 199 199 199 199 199 
45 64 50 54 38 70 97 79 63 83 90 102 53 105 199 151 199 199 199 199 199 
46 59 49 46 48 59 115 118 71 127 199 199 147 199 199 127 199 155 199 199 199 
47 93 58 62 60 71 73 73 153 65 55 147 199 163 69 199 199 158 199 199 199 
48 102 70 87 61 37 63 80 66 72 199 199 199 170 199 104 199 199 199 199 199 
49 26 32 56 100 77 87 106 55 64 92 120 199 199 103 154 160 199 199 199 199 
50 88 59 50 63 66 67 82 60 199 56 101 199 95 93 199 199 199 199 199 199 
51 81 60 72 56 68 87 67 79 67 133 120 110 199 199 199 133 199 199 199 199 
52 49 29 24 120 92 198 123 111 199 79 199 77 91 99 158 199 199 199 199 199 
53 21 44 42 58 72 54 86 87 72 84 87 178 199 166 199 199 199 199 199 199 
