0 199 92 65 92 71 59 47 62 65 44 125 101 56 62 35 32 71 92 74 74 59 71 38 62 47 62 71 71 65 50 62 59 53 38 62 74 53 80 65 74 65 56 62 77 89 80 80 83 50 83 59 
1 199 89 77 65 68 74 65 50 32 83 68 47 59 44 65 62 65 74 68 80 62 53 68 77 62 62 74 59 65 74 56 71 92 65 71 62 68 56 62 86 29 86 71 77 65 62 53 86 128 95 104 
2 199 101 71 62 50 65 62 68 56 56 56 65 59 80 83 68 74 50 62 47 56 71 56 62 53 77 68 65 74 59 59 53 56 68 74 50 71 125 191 77 107 80 65 176 59 65 128 65 65 68 77 
3 199 65 32 56 71 20 59 44 41 56 77 68 53 47 53 68 89 56 128 59 56 29 35 56 68 71 62 74 80 56 71 62 80 71 65 32 44 68 71 71 95 65 80 62 83 197 113 71 56 199 47 
4 199 35 62 50 56 17 65 62 35 35 56 47 56 71 62 65 53 53 74 47 50 83 50 59 59 56 38 68 44 56 47 92 59 62 56 71 77 74 80 101 68 71 86 74 41 41 83 92 62 71 74 
5 197 77 53 68 62 59 77 29 53 59 59 68 62 32 56 74 56 62 53 68 56 47 62 53 59 44 68 65 59 62 47 62 44 71 62 56 59 62 74 83 35 122 44 125 77 62 77 199 86 92 80 
6 176 56 56 68 50 62 41 59 59 44 71 62 47 50 50 68 71 29 65 68 38 56 65 92 71 56 77 47 62 74 65 65 71 44 74 71 83 62 199 71 65 80 65 65 74 71 86 53 71 95 86 
7 191 62 53 62 50 68 35 59 62 68 29 41 50 53 65 77 53 71 59 65 29 77 38 80 68 59 62 62 71 59 56 44 29 68 71 62 71 74 65 80 173 77 80 65 199 199 199 74 59 113 119 
8 199 89 68 68 71 74 74 68 62 56 50 53 53 62 62 47 71 38 56 53 59 53 71 68 62 83 56 65 65 68 68 77 71 65 65 74 62 62 44 77 77 71 77 74 68 56 83 62 89 71 110 
9 173 77 65 29 56 53 68 68 56 89 56 47 65 53 47 56 59 80 62 65 17 56 71 59 65 68 47 38 65 50 41 59 80 71 71 71 89 68 59 71 50 98 152 89 199 35 53 80 74 71 50 
10 199 101 65 53 56 41 47 23 38 41 62 59 59 56 65 65 53 71 68 68 32 56 74 50 68 59 62 62 65 56 62 65 53 50 56 77 83 80 59 38 74 44 71 50 65 53 74 113 80 199 26 
11 149 56 50 56 50 59 59 50 35 62 56 62 62 47 59 65 68 53 20 29 62 59 47 62 65 56 71 26 65 56 77 44 65 77 47 35 80 68 77 89 77 77 71 80 38 62 74 158 199 125 77 
12 146 113 71 74 59 74 65 47 59 77 44 89 59 44 68 68 83 65 56 71 71 65 68 71 38 44 38 95 80 65 38 74 50 47 104 65 80 65 47 65 77 32 74 65 50 86 77 53 77 68 83 
13 158 68 56 32 41 53 68 65 26 68 41 53 56 62 50 53 65 50 68 44 65 41 53 47 71 53 71 119 56 68 68 113 65 71 53 71 50 71 68 62 38 86 95 89 71 199 68 170 104 86 86 
14 119 47 56 68 53 65 53 47 29 23 47 44 50 56 47 44 47 47 38 53 59 29 65 47 56 56 47 56 74 62 68 56 32 56 53 65 62 74 116 71 68 80 110 50 59 140 80 149 89 92 38 
15 188 68 68 65 68 26 38 65 32 56 59 50 68 38 38 62 65 47 50 56 65 56 62 53 65 59 143 71 56 38 47 83 65 65 83 92 74 74 92 50 77 107 83 71 83 68 59 95 89 101 50 
16 199 83 59 59 56 65 44 65 62 65 47 77 14 59 8 44 47 56 56 110 53 62 89 47 71 44 98 68 199 65 35 65 68 50 53 41 68 71 71 71 56 53 68 83 80 80 68 104 68 101 50 
17 176 68 26 59 131 101 71 59 59 53 77 65 59 53 59 29 65 68 53 59 38 47 56 53 68 128 47 68 62 62 74 62 68 62 74 68 62 80 68 65 83 71 71 68 68 74 68 56 62 77 86 
18 199 83 50 65 74 53 56 65 74 53 56 80 53 68 68 56 47 44 74 56 56 56 65 56 65 56 71 65 68 98 68 35 59 65 65 65 47 68 65 53 11 80 62 92 50 68 68 38 83 89 56 
19 199 77 59 50 47 50 50 62 56 47 47 68 50 62 59 20 53 68 47 71 5 80 59 56 50 59 65 74 50 65 62 65 59 47 53 53 47 83 65 71 41 59 56 80 71 74 83 74 77 53 77 
20 191 62 83 44 62 62 65 74 56 71 26 68 53 62 89 68 71 98 53 47 38 62 41 59 62 56 32 41 53 53 62 74 74 59 113 59 116 56 131 62 83 68 68 89 50 62 86 86 80 77 77 
21 143 107 65 80 59 62 56 59 47 38 35 65 62 65 71 53 50 44 53 62 56 56 50 41 71 59 53 35 71 83 65 74 50 38 71 47 71 74 77 83 77 68 77 134 65 77 179 104 89 83 65 
22 182 83 80 59 59 56 65 71 44 44 62 26 44 62 62 41 53 65 50 62 65 80 71 59 65 68 71 68 95 65 65 56 59 68 59 59 56 89 74 77 59 71 71 47 53 56 101 56 131 199 92 
23 199 71 41 62 65 44 53 38 68 53 41 62 53 38 59 50 53 65 59 74 56 71 44 59 74 44 107 65 71 65 74 68 74 62 44 44 74 68 74 62 65 50 59 101 68 71 199 62 86 104 92 
24 161 77 56 59 44 53 47 71 56 68 68 35 38 14 59 56 53 77 65 65 35 68 47 68 71 65 59 62 56 41 53 131 77 53 74 74 32 38 32 128 77 50 50 62 50 143 89 77 158 77 77 
25 161 68 62 41 62 38 53 35 65 65 65 59 56 77 62 65 38 71 62 59 71 65 71 41 56 38 65 80 41 56 77 83 68 68 74 74 44 50 65 53 71 65 53 68 80 47 155 50 104 68 164 
26 182 38 35 44 53 47 35 44 62 47 59 41 29 59 53 17 65 65 53 32 68 68 56 74 71 38 65 56 53 65 56 56 50 80 74 80 50 65 50 65 74 71 62 80 53 80 89 149 74 199 80 
27 199 50 77 74 65 44 62 68 77 65 56 71 47 86 53 74 71 53 65 23 56 65 59 65 68 53 62 62 59 38 59 59 77 65 71 38 35 41 50 62 74 77 125 80 65 80 86 74 95 77 80 
28 199 71 56 44 107 47 53 77 53 65 77 59 50 53 50 32 62 44 68 26 77 71 74 53 71 68 23 80 116 68 95 56 80 68 59 56 65 74 62 199 59 53 59 128 68 77 86 83 74 119 62 
29 199 131 74 68 53 62 62 41 62 53 77 62 41 38 59 68 68 38 68 47 20 68 68 71 83 44 65 77 71 56 62 74 71 50 65 68 59 80 41 74 59 89 65 71 62 68 86 68 47 86 83 
30 199 137 110 110 62 68 53 74 68 68 44 59 62 62 50 68 74 50 65 89 44 56 62 68 59 74 68 50 65 41 65 32 53 59 80 80 74 83 56 74 68 68 83 83 71 83 116 98 56 62 134 
31 199 86 53 68 53 56 77 71 59 56 53 68 62 65 74 62 50 71 41 59 68 35 53 47 44 53 71 65 74 59 77 56 47 92 71 50 80 59 62 110 65 65 65 83 56 56 74 83 83 68 80 
32 185 47 44 35 53 29 47 65 59 65 68 38 62 47 59 41 62 38 62 59 59 53 65 113 65 56 65 53 116 53 62 104 71 89 50 83 71 53 53 50 59 77 56 182 83 74 59 188 83 116 199 
33 199 92 77 59 68 50 59 62 74 65 65 65 77 74 56 56 80 86 68 59 65 68 47 65 62 29 65 95 62 77 74 68 71 47 56 50 68 74 104 53 65 62 56 149 95 74 68 80 104 131 74 
34 199 104 74 113 83 77 65 80 74 62 56 71 68 26 65 53 62 65 47 59 53 47 83 53 71 35 29 71 68 56 77 59 59 44 56 62 74 65 71 71 62 74 158 83 71 80 199 65 65 62 38 
35 122 59 47 95 89 53 41 77 71 47 62 83 86 50 62 59 71 62 56 62 47 56 86 74 32 41 50 71 62 62 59 47 71 128 20 62 71 50 80 83 71 74 62 83 62 89 74 119 101 83 50 
36 140 59 74 38 74 56 62 26 53 41 50 53 62 44 50 53 59 56 20 56 47 35 38 56 56 47 50 68 65 83 47 95 86 35 59 77 53 38 62 68 83 65 74 83 47 59 62 68 83 83 80 
37 199 68 53 44 53 53 35 74 56 71 71 62 47 71 74 77 59 65 86 65 65 50 8 65 68 50 65 65 59 77 65 68 71 68 68 71 74 89 122 56 59 68 83 77 59 53 80 104 59 71 68 
38 199 77 65 26 62 62 68 59 65 56 71 68 71 74 44 65 56 71 53 59 59 65 23 53 77 71 83 74 68 83 59 62 50 62 113 71 65 26 65 71 68 107 83 26 71 47 92 80 80 86 149 
39 199 89 50 53 62 62 62 50 50 50 65 56 56 56 71 59 68 59 50 71 59 38 65 56 50 44 68 65 101 38 65 71 71 86 44 47 56 86 56 71 86 32 41 77 86 125 199 68 92 86 74 
40 161 68 44 98 80 62 62 50 68 53 71 56 56 29 53 71 62 65 62 53 56 62 74 71 50 65 59 23 62 77 47 56 74 77 77 44 71 59 65 86 77 71 65 59 62 68 62 86 77 77 59 
41 182 62 26 56 65 71 56 65 41 20 53 74 59 35 62 62 74 50 65 65 71 26 35 56 74 35 68 29 65 53 68 74 56 80 77 137 53 62 74 83 29 80 68 62 80 71 101 98 80 77 83 
42 179 77 59 50 74 44 38 68 41 65 74 59 59 41 80 68 35 71 50 62 44 44 65 53 62 53 59 71 71 131 74 65 65 44 62 74 65 199 35 77 116 65 71 89 65 68 56 68 80 101 83 
43 199 128 86 53 74 77 56 62 62 50 56 53 59 74 74 11 71 77 62 47 62 59 44 65 74 59 56 38 74 95 95 50 68 83 101 80 47 56 74 65 68 47 68 113 74 65 68 137 65 62 71 
44 199 86 62 65 128 65 104 83 59 56 83 56 59 59 44 38 71 53 71 56 74 41 32 56 59 59 50 113 59 65 74 62 35 59 47 86 65 53 68 68 62 83 59 74 125 74 98 92 68 80 199 
45 197 74 80 74 32 44 83 68 29 44 53 53 56 56 71 53 86 74 113 74 50 56 41 71 68 62 53 80 173 35 53 71 32 65 110 68 86 71 56 65 80 62 65 74 80 199 62 176 56 83 137 
46 199 83 29 53 44 47 59 23 50 47 59 47 50 44 47 47 71 44 68 53 53 53 77 62 71 80 77 86 65 41 80 59 92 89 95 119 56 74 41 77 62 98 53 83 83 62 140 89 95 199 50 
47 199 104 56 62 53 59 29 53 62 35 62 23 53 62 53 74 71 74 83 50 68 38 56 62 56 74 65 68 41 56 53 68 71 80 140 74 74 59 74 41 56 116 71 53 77 89 77 77 199 98 89 
48 191 80 77 53 50 59 56 59 56 50 62 50 47 44 47 50 44 83 47 62 62 47 71 68 56 62 53 68 44 104 74 50 65 68 53 59 77 74 65 62 74 62 53 80 65 161 71 74 71 89 92 
49 199 83 83 65 59 62 80 62 50 83 56 38 38 50 80 65 74 59 77 53 20 68 65 83 41 98 44 71 65 83 65 56 62 47 41 71 59 59 59 71 68 101 77 74 98 77 80 71 188 110 71 
50 185 62 56 41 29 80 53 74 77 47 56 47 65 50 44 41 59 17 68 59 41 137 44 86 29 77 74 71 50 59 59 50 131 95 56 59 92 56 74 68 68 74 80 95 47 71 199 74 56 107 86 
51 128 47 23 56 65 68 68 44 26 44 59 53 74 59 59 65 56 71 44 47 53 41 71 71 47 62 83 62 68 74 14 74 80 62 83 68 74 50 68 50 86 74 74 53 74 74 77 56 77 128 80 
52 164 71 35 62 56 53 65 59 62 50 56 71 68 77 41 59 50 41 59 11 65 65 62 65 68 53 62 32 56 59 74 74 59 71 83 68 50 80 68 65 41 149 56 80 65 56 71 74 68 104 101 
53 188 38 53 41 50 53 68 62 44 50 56 44 35 44 62 65 65 77 65 56 62 74 47 59 44 59 77 107 32 56 62 56 59 44 71 74 62 83 50 83 68 65 95 59 80 92 199 122 92 71 65 
54 179 71 56 35 56 56 44 71 53 56 56 41 56 56 59 59 77 80 62 62 56 59 71 47 68 59 68 41 59 53 62 62 74 59 68 26 53 62 65 125 101 47 98 62 80 113 77 68 77 113 89 
55 199 65 59 65 59 62 41 47 68 59 59 56 59 53 38 56 35 53 53 47 59 56 50 65 65 35 47 68 56 47 77 98 44 98 65 59 80 56 98 56 80 77 41 86 53 80 199 74 83 137 185 
56 191 71 62 50 77 65 65 77 74 65 50 41 50 47 29 53 47 59 41 38 56 68 38 68 65 53 53 53 74 74 47 98 29 71 59 95 56 71 62 65 98 77 74 56 71 83 50 68 110 95 92 
57 182 125 68 56 50 56 71 68 71 86 50 68 32 62 80 74 68 71 74 71 65 47 125 50 56 74 47 68 68 68 65 74 62 50 65 95 65 83 62 74 44 86 80 152 71 74 74 71 86 173 122 
58 199 104 83 83 62 74 65 71 56 8 44 62 80 59 47 62 65 50 80 71 59 44 50 59 95 68 32 23 53 50 50 71 41 53 62 62 62 71 65 47 77 68 77 74 74 107 92 65 71 110 199 
59 185 56 59 71 50 56 62 32 56 50 53 56 62 47 65 77 38 53 74 71 50 53 53 62 71 50 32 50 95 41 77 95 107 62 65 62 56 50 68 80 128 62 80 56 74 77 59 65 59 86 199 
60 199 68 74 68 29 56 53 47 65 59 50 29 50 71 53 29 29 80 62 50 86 74 71 68 113 53 71 44 38 77 71 53 59 59 86 62 62 80 77 56 65 92 83 68 65 47 65 56 77 199 101 
61 199 110 26 38 62 59 71 56 65 62 50 65 47 56 44 71 53 56 62 68 65 68 74 65 65 53 83 71 53 59 56 53 65 41 53 86 56 71 59 62 29 86 74 59 86 83 74 199 71 62 80 
62 140 65 62 56 65 59 56 53 56 65 74 56 50 44 62 59 68 44 41 41 68 83 53 53 56 56 65 68 59 68 74 74 65 74 56 86 62 92 71 62 71 77 80 77 83 59 95 194 68 95 101 
63 199 119 113 110 92 86 77 86 32 62 50 62 62 62 41 41 32 77 68 53 62 59 38 86 62 53 59 62 56 71 62 74 59 68 77 83 74 71 86 38 59 47 56 89 71 77 38 68 41 83 199 
64 188 68 41 38 50 47 38 62 68 62 71 53 47 62 62 71 68 56 56 47 56 53 38 65 74 50 71 56 71 50 125 59 161 65 65 41 56 71 104 59 80 95 68 80 98 65 59 74 80 41 89 
65 125 32 56 26 68 56 62 29 56 56 68 44 68 47 41 56 47 62 68 80 113 62 41 68 65 65 80 68 74 86 199 59 68 74 80 59 86 44 50 56 68 74 71 77 86 59 104 77 86 71 199 
66 199 89 65 113 95 107 59 35 44 47 41 65 47 71 68 62 53 50 41 62 44 68 71 77 62 47 50 68 77 89 65 80 71 74 74 74 32 74 53 44 71 86 44 65 80 86 77 86 199 77 104 
67 199 86 62 59 53 62 35 44 53 62 65 68 68 65 59 65 47 74 56 68 65 65 80 47 68 56 17 56 71 68 59 47 65 74 62 74 95 41 53 80 29 59 65 86 83 146 77 140 71 71 86 
68 199 89 68 56 65 80 56 62 71 50 44 65 53 56 56 32 59 53 74 62 68 74 44 23 119 62 77 68 74 71 35 23 74 65 65 71 89 199 77 29 44 77 71 68 89 68 59 199 199 104 98 
69 176 38 71 50 125 83 17 65 80 26 53 47 56 62 65 86 41 53 41 68 59 62 53 68 95 74 62 47 68 77 68 74 167 53 65 65 80 68 59 68 134 77 80 89 80 98 59 71 29 77 77 
70 185 65 68 50 53 59 44 41 59 59 77 80 68 59 59 56 56 59 62 53 56 74 59 68 41 56 53 50 83 53 65 92 83 74 62 23 50 38 74 53 80 47 74 122 59 56 86 116 77 83 83 
71 199 56 74 65 50 50 56 65 50 68 65 50 68 62 50 68 71 89 71 44 50 32 56 53 77 59 56 65 53 56 53 53 50 56 47 71 80 71 77 74 77 74 62 68 119 65 77 77 71 89 199 
72 199 95 65 62 80 77 71 53 68 80 68 68 56 32 74 47 74 71 77 53 80 71 77 53 68 65 68 68 95 53 59 122 65 56 41 80 68 74 71 53 74 62 59 86 77 74 110 125 80 71 113 
73 199 71 38 26 38 53 62 53 50 56 50 62 71 53 59 62 41 44 44 53 59 56 59 59 44 62 65 32 65 65 44 41 95 53 44 47 161 62 199 71 71 59 74 68 95 74 74 29 86 98 83 
74 191 62 59 62 59 59 59 53 95 56 62 68 65 65 62 68 68 68 53 65 50 29 53 68 71 74 74 80 65 71 65 86 74 68 80 50 68 71 68 95 199 80 74 167 71 71 56 77 74 77 170 
75 161 110 62 59 59 68 47 65 98 53 74 44 83 47 62 35 50 68 65 68 62 59 44 65 50 71 68 62 47 71 41 77 53 62 65 86 68 77 59 59 62 65 53 65 89 80 74 86 11 98 68 
76 167 56 50 56 47 56 68 59 74 71 50 47 56 56 56 68 65 65 23 62 38 68 74 56 56 59 44 80 47 65 53 65 62 68 59 50 59 199 68 176 62 68 92 83 26 59 62 104 86 71 92 
77 149 68 71 47 68 68 68 65 50 56 71 62 62 56 71 68 62 56 68 101 32 35 56 71 65 71 56 59 50 50 65 38 65 59 65 137 80 98 71 53 77 74 53 89 86 77 125 119 113 74 71 
78 170 77 62 50 53 65 50 47 59 59 38 74 56 47 53 53 38 35 50 68 56 59 47 59 50 47 65 50 71 86 80 56 71 68 68 77 53 77 59 83 101 65 101 50 77 65 83 59 173 68 86 
79 161 74 68 59 53 56 65 71 68 38 62 38 20 41 56 59 59 50 74 59 77 65 71 74 65 23 68 71 50 71 68 98 74 62 65 80 53 68 161 86 65 38 80 74 62 95 80 199 86 80 92 
80 199 65 56 62 50 38 41 53 65 8 65 65 59 56 50 56 83 53 83 71 74 71 71 56 68 68 56 65 71 71 62 41 68 50 74 56 68 199 83 80 44 89 68 74 83 86 77 74 104 80 74 
81 199 86 77 53 80 35 59 41 65 62 59 71 62 11 62 56 56 65 65 68 44 44 68 68 95 68 62 71 59 47 62 62 56 56 14 74 62 65 77 56 80 62 68 119 71 65 74 149 47 143 62 
82 119 29 35 65 11 62 44 44 56 38 56 53 65 50 38 38 59 62 59 29 62 53 59 56 20 38 62 59 77 50 110 68 80 65 53 83 50 59 62 71 86 77 29 101 47 71 68 155 80 95 83 
