0 125 95 59 59 47 62 56 56 65 83 68 44 56 104 65 92 41 89 65 77 155 65 155 170 199 199 
1 149 89 83 65 77 35 59 68 56 44 65 92 62 53 65 65 86 80 92 86 113 119 107 89 128 199 
2 110 62 62 41 65 62 77 35 71 86 59 62 71 53 83 68 80 71 68 86 113 89 77 199 199 199 
3 110 71 68 35 56 11 41 62 50 62 68 41 47 53 56 62 74 80 122 74 71 47 199 188 131 199 
4 65 77 68 41 68 50 68 65 68 62 65 65 56 41 77 62 65 71 131 179 89 113 86 92 125 199 
5 113 80 71 47 56 56 59 53 65 71 65 50 80 53 122 137 44 71 65 104 119 74 98 199 134 185 
6 71 68 62 68 68 59 65 47 62 41 71 59 26 38 53 62 62 65 74 92 101 89 104 56 134 199 
7 92 65 59 62 65 77 56 65 62 65 74 62 41 65 86 59 62 65 98 83 104 68 167 199 188 199 
8 116 68 50 83 53 41 47 53 68 65 38 86 83 71 71 50 89 74 71 86 77 74 176 199 199 199 
9 104 83 77 56 71 65 56 56 56 53 47 77 77 47 74 68 53 95 62 83 80 107 101 149 119 199 
10 98 56 62 74 59 62 56 59 50 77 56 68 59 62 59 95 62 65 89 161 77 77 199 161 199 199 
11 68 68 44 74 56 68 38 44 56 62 62 32 41 53 41 53 71 47 74 62 38 86 74 107 110 199 
12 104 95 68 59 59 71 65 53 68 47 38 53 56 65 44 59 50 74 59 83 74 119 62 199 146 199 
13 74 59 65 59 62 68 77 47 53 62 56 41 59 62 56 53 38 53 65 44 86 41 146 62 71 199 
14 65 65 29 71 53 65 62 56 59 68 68 50 53 35 59 71 77 65 47 65 74 80 86 199 199 199 
15 98 62 59 47 50 14 65 59 56 59 50 41 50 41 47 74 50 65 65 68 65 92 140 107 56 199 
16 110 53 44 47 68 62 83 50 68 71 50 59 53 74 74 59 71 56 68 56 119 134 164 199 146 199 
17 170 92 68 86 53 74 65 80 71 8 74 62 56 62 53 41 59 74 50 47 47 65 89 134 199 199 
18 158 68 83 62 68 56 59 41 71 71 68 53 92 65 71 71 80 65 134 74 77 77 140 199 199 107 
19 92 68 62 47 62 65 77 59 35 59 68 56 56 8 56 71 53 71 53 71 77 122 199 101 125 199 
20 143 62 38 62 47 56 50 56 56 74 62 62 62 62 50 65 50 71 80 74 104 38 92 199 199 199 
21 155 199 107 71 50 92 65 62 41 50 68 65 71 50 29 47 47 68 68 89 71 65 134 199 199 199 
22 80 50 77 47 56 50 56 65 71 20 65 65 17 74 35 59 53 83 59 56 116 89 199 11 179 170 
23 104 47 47 35 80 62 59 38 65 53 77 65 59 77 113 80 59 44 80 155 62 56 71 53 199 199 
24 113 71 47 74 68 68 44 65 53 74 68 62 77 62 47 74 62 62 86 89 122 116 194 65 158 199 
25 89 65 41 62 50 68 53 65 53 38 56 71 62 62 71 143 74 62 59 65 80 92 199 83 199 199 
26 65 44 32 56 38 59 65 62 71 59 62 65 50 62 89 56 59 59 62 71 71 134 116 143 199 199 
27 95 65 80 47 77 74 65 68 65 71 56 38 65 74 68 65 59 77 71 104 98 113 199 92 199 199 
28 95 74 65 77 59 62 59 65 56 59 71 35 65 65 68 77 59 59 65 107 119 116 95 143 199 199 
29 131 59 68 53 71 65 68 26 68 71 53 53 53 62 68 80 83 86 77 86 101 113 92 194 199 199 
30 199 107 86 77 59 56 65 50 59 47 77 59 89 95 59 74 77 56 62 65 98 95 104 173 199 199 
31 98 65 65 71 77 47 56 62 68 59 20 47 71 68 71 65 20 80 83 59 98 101 80 173 182 131 
32 59 68 56 14 62 62 65 68 65 53 68 56 71 35 68 47 20 68 83 86 98 104 158 199 199 199 
33 95 68 59 59 65 65 65 44 41 65 62 50 68 62 59 89 65 83 74 50 83 86 149 164 199 173 
34 173 77 56 71 56 59 68 62 77 83 47 65 62 83 62 44 53 77 59 92 65 188 74 80 119 116 
35 77 119 110 74 71 68 62 62 71 62 41 38 41 41 50 56 74 59 86 50 89 56 110 92 80 199 
36 95 53 41 74 50 59 65 53 59 92 68 59 47 71 44 65 65 26 98 65 53 77 107 119 83 199 
37 167 140 83 65 62 62 56 47 62 68 65 53 62 53 65 44 68 62 62 95 140 101 92 122 98 199 
38 77 56 62 62 77 71 41 56 44 56 53 56 59 62 68 47 62 80 65 47 59 68 101 104 199 199 
39 113 65 56 62 83 62 68 62 65 62 74 59 44 80 56 80 77 104 71 83 182 131 199 140 199 199 
40 191 71 74 59 65 50 59 56 47 59 71 65 68 59 59 59 113 89 59 53 65 68 53 83 77 62 
41 86 56 68 62 38 62 53 59 71 38 44 29 95 59 26 65 65 83 95 80 83 86 74 199 199 194 
42 143 71 65 44 56 65 77 62 50 59 74 56 56 62 62 62 59 77 26 89 80 182 125 199 146 199 
43 170 65 74 68 95 47 56 56 83 65 68 77 68 44 71 35 92 80 80 89 71 137 199 92 199 199 
44 199 122 56 59 56 23 56 44 74 56 62 92 59 59 44 89 65 68 98 89 89 101 170 199 65 167 
45 131 74 32 74 71 62 62 65 68 74 68 65 98 59 77 71 71 74 50 113 98 188 101 199 199 176 
46 77 77 74 53 65 59 50 56 68 38 50 62 65 80 62 62 71 77 71 59 77 101 74 128 113 199 
