0 199 170 98 59 47 35 29 32 35 32 44 38 50 199 38 199 199 199 199 
1 199 110 59 35 26 20 17 20 14 32 20 23 128 161 179 199 199 199 199 
2 199 199 199 131 95 74 86 17 47 38 50 50 113 199 199 134 146 199 199 
3 199 143 89 47 44 38 86 56 50 155 71 35 68 137 86 199 199 53 199 
4 199 125 199 161 116 95 83 71 65 56 47 38 101 199 199 62 199 134 199 
5 199 128 83 53 41 41 32 47 26 53 56 29 119 199 199 137 77 199 199 
6 199 199 131 89 77 65 59 50 107 113 59 59 35 11 80 110 199 173 199 
7 199 167 98 56 41 32 23 23 23 14 35 23 143 53 116 199 146 104 199 
8 199 182 113 65 56 41 35 32 35 32 20 23 113 143 199 155 101 128 199 
9 199 199 161 98 77 62 44 23 74 56 83 119 44 199 149 65 199 194 199 
10 199 92 50 32 20 20 17 26 38 32 26 35 71 122 26 199 199 104 188 
11 199 128 199 158 110 107 83 29 23 20 23 53 199 188 83 199 194 199 199 
12 199 191 188 104 62 38 29 35 26 32 29 20 199 199 110 158 199 101 95 
13 199 199 188 110 92 74 68 20 74 29 26 41 199 62 17 50 199 182 199 
14 199 104 59 38 38 32 20 17 26 41 35 35 59 32 83 199 86 199 199 
15 199 89 50 32 23 20 23 20 20 23 14 77 26 50 199 131 199 199 199 
16 199 191 116 74 47 41 29 38 26 32 50 26 122 71 170 199 199 155 199 
17 199 134 83 53 41 32 35 26 32 29 50 199 80 59 89 80 83 199 199 
18 199 199 140 199 56 38 29 23 20 29 80 38 32 152 101 199 199 199 199 
19 199 101 59 41 35 95 56 38 26 23 53 47 23 65 44 86 199 199 199 
20 199 110 68 38 32 29 116 98 83 62 44 77 26 137 125 199 44 199 199 
21 199 143 83 47 38 23 95 74 113 77 38 68 68 101 38 199 134 20 125 
22 199 113 65 35 23 23 20 17 17 20 20 23 26 59 23 44 140 194 199 
23 199 113 68 50 35 29 23 17 11 41 29 20 74 23 199 143 158 199 199 
24 199 161 199 89 173 119 95 80 77 47 80 41 53 41 199 191 131 199 199 
25 199 95 56 32 26 23 20 17 8 23 17 20 35 119 65 59 199 199 199 
26 199 89 65 41 26 20 50 29 26 23 17 20 199 122 113 199 155 199 199 
27 199 199 146 86 68 53 56 38 32 32 32 29 47 199 199 71 199 170 199 
28 199 125 80 53 38 35 29 26 23 26 20 20 20 35 176 68 199 199 199 
29 199 199 199 77 56 44 38 35 38 35 113 110 80 164 86 77 199 119 199 
30 199 199 128 77 59 44 41 35 38 29 26 26 188 155 134 199 173 199 199 
31 199 92 65 41 32 29 29 20 47 53 92 59 47 59 83 199 199 199 199 
32 199 143 89 68 53 44 35 35 29 59 23 17 17 77 199 199 199 199 199 
33 199 161 98 56 47 134 101 128 44 29 47 56 41 104 71 199 199 104 199 
34 199 149 86 50 41 143 104 50 20 86 41 38 199 32 199 199 119 199 199 
35 199 113 77 47 41 29 26 32 29 38 29 26 104 152 167 197 199 199 199 
36 199 140 89 56 38 50 23 167 71 29 17 125 194 86 71 119 199 199 199 
37 199 131 80 53 50 47 38 32 23 17 20 20 29 47 134 59 199 199 101 
38 199 199 199 140 104 86 77 65 53 131 35 56 128 199 191 92 199 199 199 
39 199 199 167 155 65 50 50 59 80 32 56 38 50 116 199 199 199 199 65 
40 199 173 199 122 83 155 119 89 199 50 92 56 68 134 35 152 191 199 199 
41 199 158 110 71 59 44 35 32 26 20 20 17 14 128 199 199 199 199 197 
42 199 167 95 56 50 41 44 65 29 29 23 38 65 155 77 113 199 185 199 
43 199 167 104 68 50 38 35 29 26 20 17 17 122 164 199 104 199 41 199 
44 199 158 199 173 92 47 35 41 56 50 86 29 62 104 95 199 167 199 199 
45 199 137 107 83 62 53 50 56 44 56 137 92 14 146 143 68 199 182 199 
46 199 199 107 62 47 38 29 26 29 35 107 14 56 80 199 110 199 199 199 
47 199 116 65 35 26 23 17 20 23 26 29 29 62 199 95 65 199 199 199 
48 199 199 170 92 71 56 44 35 35 32 71 35 77 95 143 113 199 199 199 
49 199 170 116 65 50 44 35 29 29 26 23 20 44 199 199 199 143 125 199 
50 199 80 53 35 53 32 35 38 38 44 47 53 104 38 199 199 199 199 199 
51 199 199 128 83 71 95 47 47 56 86 77 38 89 56 101 199 199 199 199 
