initNo 0.15 0.175 0.2 0.225 0.25 
0 137 89 113 86 89 
1 71 38 74 77 77 
2 65 95 56 59 92 
3 53 80 101 47 83 
4 80 77 53 92 107 
5 65 77 122 107 122 
6 80 83 53 98 110 
7 98 98 71 80 68 
8 53 80 77 89 77 
9 77 83 83 71 71 
10 95 104 89 83 59 
11 101 62 110 71 68 
12 113 80 113 77 71 
13 86 125 74 101 92 
14 83 74 59 47 68 
15 68 68 35 80 65 
16 80 74 131 74 80 
17 83 131 71 110 68 
18 71 65 74 89 83 
19 95 119 68 101 92 
20 95 56 62 77 95 
21 98 113 83 80 125 
22 59 107 83 77 77 
23 44 116 95 68 80 
24 53 128 74 74 77 
25 56 71 98 128 80 
26 50 71 71 113 77 
27 71 113 65 80 92 
28 101 77 95 74 71 
29 53 92 77 80 74 
30 107 80 77 74 59 
31 80 62 101 65 71 
32 101 53 62 74 101 
33 89 71 107 68 83 
34 29 77 110 71 95 
35 80 53 83 86 74 
36 86 98 83 71 56 
37 86 95 65 74 86 
38 71 74 92 83 101 
39 59 53 86 104 95 
40 74 86 65 80 83 
41 122 80 77 53 74 
42 74 80 89 77 62 
43 116 71 98 119 44 
44 71 68 59 77 62 
45 86 80 59 65 89 
46 80 86 38 56 80 
47 74 62 104 89 95 
48 122 41 41 74 77 
49 128 50 71 89 83 
50 89 71 80 59 167 
51 80 71 101 80 68 
52 104 74 92 74 86 
53 77 92 83 95 98 
54 47 68 101 83 86 
55 56 95 80 50 95 
56 62 59 74 113 56 
57 125 74 101 74 122 
58 56 86 47 80 74 
59 95 107 68 77 83 
60 68 50 71 83 131 
61 74 83 50 80 77 
62 137 95 131 74 74 
63 59 98 59 86 89 
64 83 86 62 86 80 
65 77 128 98 71 71 
66 107 56 41 71 86 
67 83 77 101 53 86 
68 80 131 80 86 95 
69 44 95 137 95 98 
70 71 89 74 77 74 
71 68 89 68 62 116 
72 74 98 83 80 104 
73 50 77 86 86 77 
74 44 77 74 92 89 
75 110 119 110 86 89 
76 77 53 74 65 80 
77 77 77 74 65 83 
78 65 77 86 134 56 
79 62 53 116 59 74 
80 68 86 98 98 107 
81 89 86 134 80 77 
82 71 89 89 74 119 
83 68 65 86 50 71 
84 71 68 83 50 83 
85 74 80 80 71 74 
86 143 95 74 119 71 
87 101 86 80 140 128 
88 113 50 80 83 110 
89 101 41 80 89 98 
90 80 89 134 71 101 
91 83 95 77 77 68 
92 83 80 41 68 41 
93 56 95 83 77 56 
94 80 71 146 80 119 
95 80 62 65 98 86 
96 65 68 83 92 95 
97 89 56 83 65 83 
98 134 74 41 104 83 
99 77 65 101 77 29 
100 83 86 80 17 77 
101 77 59 83 113 26 
102 137 77 59 122 119 
103 68 77 71 80 74 
104 89 95 74 80 86 
105 92 80 80 68 86 
106 83 104 86 113 74 
107 35 74 44 26 77 
108 116 116 107 98 83 
109 65 74 71 17 80 
110 74 83 71 89 161 
111 74 83 125 71 59 
112 83 86 17 89 83 
113 80 74 83 38 98 
114 74 83 59 89 77 
115 68 107 92 62 101 
116 62 68 62 83 101 
117 89 74 71 65 77 
118 194 89 92 83 65 
119 20 95 74 101 71 
120 41 89 80 80 119 
121 86 92 80 74 71 
122 92 86 95 77 80 
123 122 83 86 50 98 
124 98 83 77 47 59 
125 74 74 62 122 110 
126 68 53 98 77 77 
127 77 74 71 65 77 
128 80 71 80 104 80 
129 86 119 74 20 80 
130 86 74 74 146 56 
131 101 35 86 86 80 
132 83 59 80 122 65 
133 59 38 92 86 98 
134 113 89 80 77 119 
135 65 71 86 68 98 
136 83 59 89 50 53 
137 77 44 68 107 80 
138 74 71 86 86 65 
139 86 119 89 86 74 
140 83 77 65 125 98 
141 53 68 89 68 80 
142 92 149 68 77 134 
143 83 83 83 68 80 
144 77 65 98 92 74 
145 74 65 83 59 59 
146 80 122 74 134 80 
147 119 77 89 170 92 
148 77 71 80 77 86 
149 83 47 80 95 77 
150 92 68 65 89 95 
151 71 98 80 80 95 
152 113 83 65 98 62 
153 89 68 98 83 83 
154 74 68 92 95 158 
155 62 86 80 110 77 
156 86 92 86 59 95 
157 77 137 77 74 86 
158 83 74 86 74 62 
159 74 62 74 95 80 
160 92 77 71 107 77 
161 89 89 95 98 77 
162 74 68 74 110 68 
163 83 89 86 80 50 
164 98 86 89 86 146 
165 68 83 80 74 68 
166 74 62 74 59 74 
167 77 68 95 80 89 
168 71 68 104 86 62 
169 83 80 80 86 74 
170 80 71 98 98 89 
171 86 68 107 98 77 
172 92 59 83 83 26 
173 86 95 83 77 77 
174 71 80 95 92 125 
175 83 68 104 104 86 
176 77 71 74 92 80 
177 59 89 74 89 134 
178 92 68 83 86 71 
179 116 83 101 86 62 
180 74 77 59 86 77 
181 74 95 80 74 71 
182 74 17 116 98 89 
183 41 149 77 92 62 
184 80 53 104 92 83 
185 71 104 80 68 62 
186 86 68 56 68 59 
187 92 74 95 74 116 
188 71 32 95 62 95 
189 80 65 83 77 77 
190 26 86 68 95 122 
191 89 95 68 104 92 
192 83 89 77 128 71 
193 68 59 71 86 86 
194 83 74 86 59 98 
195 119 86 83 80 110 
196 59 71 92 80 98 
197 65 146 89 110 71 
198 83 80 98 122 62 
199 77 80 104 104 50 
