0 42 32 32 37 52 45 64 72 63 46 76 57 87 109 100 72 199 199 199 124 199 80 111 92 199 98 199 199 199 199 199 199 
1 42 40 48 46 45 43 58 49 51 52 68 55 78 63 102 118 199 199 68 68 148 115 199 95 199 199 199 199 90 199 199 199 
2 60 38 38 44 40 42 42 51 36 43 57 67 56 68 56 89 120 90 199 113 199 100 115 199 199 199 199 199 199 199 199 199 
3 46 39 34 44 48 42 54 57 52 96 69 56 61 61 199 199 199 116 199 199 199 199 199 199 199 199 199 199 199 199 199 199 
4 46 26 26 19 30 30 58 44 63 64 100 60 69 199 57 74 199 102 192 87 106 199 199 170 199 199 199 199 199 199 199 199 
5 57 39 32 36 26 50 67 62 58 54 60 58 103 61 81 65 199 96 85 141 199 199 199 199 199 199 199 199 199 199 199 199 
6 46 21 42 38 43 67 66 43 49 47 64 56 72 69 90 76 199 138 199 186 199 199 199 199 199 199 199 199 199 199 199 199 
7 36 21 47 38 48 48 47 44 60 84 61 75 135 88 100 67 82 91 80 104 199 199 99 199 164 199 199 199 150 199 199 199 
8 31 40 71 84 77 67 51 62 71 50 53 30 58 50 199 82 103 120 65 199 199 199 123 199 199 199 116 199 199 199 199 199 
9 35 30 46 41 61 64 52 49 53 71 55 93 60 60 59 90 199 106 63 199 83 199 199 199 199 199 199 199 199 199 199 199 
10 25 16 56 52 39 47 46 52 43 56 67 67 71 71 52 72 75 85 99 77 104 199 125 199 174 130 199 199 199 199 199 199 
11 47 34 40 49 64 45 45 67 53 66 65 64 73 93 76 55 88 80 78 118 109 112 184 199 199 199 199 199 139 199 199 199 
12 26 27 38 40 51 38 35 48 79 81 82 64 100 89 199 72 72 109 128 199 111 199 142 199 199 77 199 189 199 199 199 199 
13 47 39 29 16 40 49 47 60 60 47 88 48 69 122 158 80 97 77 199 132 106 199 100 199 199 199 199 199 199 199 199 199 
14 21 28 38 31 34 64 37 47 52 56 86 56 50 55 164 149 55 185 199 102 199 110 143 83 199 84 199 196 199 199 199 199 
15 9 39 42 35 40 52 66 52 49 60 67 109 41 71 68 65 199 89 156 113 69 146 199 199 147 199 199 199 199 199 199 199 
16 35 36 34 43 58 53 39 59 92 64 58 66 67 80 199 119 73 199 199 77 199 81 199 199 199 199 199 199 113 199 199 199 
17 78 35 29 35 36 43 51 43 85 56 62 71 81 88 132 104 67 199 139 85 88 170 199 199 199 199 161 199 199 199 199 199 
18 33 31 35 42 45 57 54 52 55 66 54 61 56 65 189 90 63 90 78 199 199 199 199 98 130 199 148 199 199 110 199 199 
19 14 34 23 41 39 51 43 43 74 58 199 53 91 75 54 84 82 105 95 199 199 57 199 199 199 199 199 199 199 199 199 199 
20 51 26 46 67 53 53 47 34 81 57 76 62 91 56 199 120 197 129 104 199 128 109 199 177 199 199 199 199 199 199 199 199 
21 14 24 51 39 59 46 45 52 55 53 69 52 47 63 67 52 88 199 84 100 199 90 199 181 199 199 199 199 199 199 199 199 
22 39 32 40 40 34 41 71 54 40 65 199 74 148 131 74 199 61 86 106 199 62 198 199 199 145 199 199 199 199 199 199 199 
23 49 29 18 37 47 54 39 43 55 42 53 97 60 84 181 78 58 97 146 77 199 199 97 176 199 199 199 199 199 199 199 199 
24 57 27 33 34 44 62 88 43 48 66 61 56 77 69 67 199 69 76 103 143 100 63 199 83 199 199 199 130 199 199 199 199 
25 45 22 16 30 45 47 51 55 54 95 60 64 53 62 88 67 83 66 85 199 82 199 134 199 199 90 199 199 199 199 199 199 
26 44 45 59 50 31 40 70 37 49 64 51 70 61 133 77 199 100 88 62 103 98 199 199 199 199 193 199 199 192 199 199 199 
27 25 31 26 34 40 63 56 77 54 62 60 58 67 199 70 71 81 169 79 100 199 119 199 199 96 199 138 199 199 199 199 199 
28 58 36 36 42 52 47 50 47 57 59 56 56 67 195 76 83 181 84 82 75 76 199 199 199 152 199 199 199 199 199 199 199 
29 47 41 41 26 33 52 41 52 29 55 55 98 132 47 62 181 199 87 62 127 74 199 199 85 199 199 199 199 199 199 199 199 
30 55 38 29 52 51 39 51 46 60 52 62 57 56 64 99 119 52 199 132 100 74 199 199 199 199 199 199 199 171 199 199 199 
31 71 37 25 63 41 62 48 61 52 56 43 51 36 199 56 124 83 110 199 114 199 81 199 199 199 108 199 199 199 199 199 199 
32 19 20 27 40 42 54 48 59 86 55 62 56 106 199 61 55 117 140 77 199 199 199 192 199 199 199 199 199 199 199 199 199 
33 40 30 28 46 57 45 54 58 48 56 66 55 70 91 73 62 78 133 88 168 67 199 199 199 142 199 199 116 199 199 199 199 
34 54 34 88 62 76 43 41 56 62 75 63 52 118 100 199 57 105 75 199 199 172 107 101 199 199 199 199 199 199 199 199 199 
35 38 22 48 34 39 40 61 46 52 45 59 55 64 75 107 107 70 67 199 199 199 199 199 199 108 199 199 199 199 199 199 199 
36 57 45 32 30 38 46 41 67 52 83 69 72 65 68 103 72 199 199 112 89 90 93 199 199 199 199 199 199 199 199 199 199 
37 20 28 34 32 38 56 38 62 44 108 37 199 100 67 85 94 57 71 108 70 199 199 100 62 199 199 199 199 199 199 199 199 
38 42 35 40 28 39 40 45 60 99 44 57 62 103 93 199 90 199 123 199 126 199 131 199 57 113 199 199 199 199 199 199 199 
39 67 51 53 31 43 51 50 38 66 62 58 93 114 66 107 55 76 199 199 141 157 199 199 199 199 84 182 199 199 199 199 199 
40 42 31 30 32 37 44 58 56 62 64 55 57 54 89 199 61 74 77 63 91 107 123 199 130 195 199 199 199 199 199 199 199 
41 65 51 55 35 51 38 53 50 56 65 65 81 71 76 60 81 70 122 199 199 123 199 199 171 199 123 199 199 199 199 199 199 
42 36 40 39 32 34 41 44 57 95 99 63 103 125 73 99 62 71 119 131 106 199 199 199 199 199 199 199 199 199 199 199 199 
43 28 28 25 47 31 38 46 55 57 67 53 58 42 60 199 74 77 102 199 92 199 199 118 199 199 112 162 199 199 199 199 199 
44 24 30 23 25 34 32 43 60 47 61 77 68 82 64 109 70 70 82 199 199 199 199 199 118 199 147 199 199 199 199 199 199 
45 61 48 39 48 45 42 48 48 71 55 53 66 62 76 87 68 71 199 101 68 139 199 80 199 199 199 199 199 199 199 199 199 
46 14 50 33 25 32 41 46 47 63 44 48 62 66 73 71 68 199 70 68 76 155 147 199 199 166 148 199 199 199 199 199 199 
47 40 23 36 50 34 57 57 47 92 56 59 66 77 67 100 71 148 62 102 102 199 109 199 199 199 108 199 199 199 199 199 199 
48 59 19 34 39 53 58 48 31 62 66 67 56 125 66 101 73 70 98 199 65 95 188 199 199 199 199 199 199 126 199 199 199 
49 28 35 23 26 45 43 62 59 55 65 80 199 66 110 55 62 199 121 140 124 199 108 132 199 199 199 199 199 199 199 199 199 
50 78 53 45 43 44 48 45 38 47 56 55 53 73 67 199 199 65 164 82 199 89 199 199 199 196 199 199 199 199 199 199 199 
51 75 52 47 39 45 47 53 53 57 64 51 57 115 82 91 199 76 116 81 199 199 95 83 199 199 199 199 199 199 199 151 199 
52 17 24 37 40 90 44 44 94 63 70 55 193 76 60 98 199 73 199 112 199 199 124 199 196 199 103 199 199 199 199 199 199 
53 71 41 38 33 40 42 94 64 56 54 61 56 49 57 199 63 84 199 199 88 199 199 129 199 199 199 199 199 199 199 199 199 
54 20 51 35 27 35 43 43 51 53 58 57 47 67 199 72 48 199 199 199 108 199 199 173 130 116 113 157 199 199 199 199 199 
55 30 51 53 41 59 55 28 55 55 75 63 60 83 81 56 199 168 76 121 96 199 199 199 199 199 199 199 199 199 199 199 199 
56 27 35 24 61 41 52 67 46 42 56 46 126 63 142 118 61 70 199 199 84 199 199 199 199 199 199 71 199 100 199 199 199 
57 51 33 28 43 42 43 59 78 64 59 50 59 61 50 89 123 153 85 199 168 131 163 199 199 63 199 199 199 199 170 199 199 
58 22 23 24 44 49 45 55 61 49 104 111 59 199 89 62 79 155 199 72 199 199 114 68 122 199 199 199 199 199 199 199 199 
59 24 27 38 38 38 43 46 49 44 77 64 75 60 69 73 78 63 156 113 199 199 164 199 199 71 199 199 199 199 199 199 199 
60 31 17 21 31 41 38 56 49 47 58 53 78 199 64 112 107 161 65 199 199 199 147 199 157 113 199 199 122 199 199 199 199 
61 54 40 30 54 52 47 50 39 104 47 60 60 84 55 80 113 73 96 97 66 94 182 199 121 199 199 199 199 199 199 199 199 
62 43 57 41 35 40 58 50 54 96 49 54 47 103 107 76 95 75 80 70 87 89 180 199 199 199 139 118 199 199 199 199 199 
63 38 19 32 39 30 48 37 48 46 61 88 54 82 71 74 77 73 64 199 199 102 199 190 199 199 199 199 197 199 199 199 199 
