0 191 53 32 68 71 62 65 53 62 65 38 86 62 98 74 74 77 95 89 119 116 152 113 107 
1 194 68 50 77 47 47 59 71 77 65 83 74 110 86 86 101 74 83 101 107 107 199 155 199 
2 194 56 47 68 59 20 56 65 89 62 65 59 65 71 80 77 98 74 113 152 143 199 199 199 
3 164 56 59 38 41 59 41 53 62 56 53 80 155 86 80 122 92 98 137 125 95 188 95 199 
4 199 119 50 74 41 77 41 29 65 56 122 71 86 95 80 80 89 95 199 107 199 199 182 199 
5 167 98 65 38 29 47 65 56 122 68 56 80 68 74 146 86 80 92 98 199 199 119 155 131 
6 188 74 74 62 71 50 71 50 68 68 47 68 95 50 89 47 128 80 47 122 86 110 199 179 
7 199 68 59 35 41 59 86 68 80 62 59 74 74 80 77 191 161 80 170 68 86 199 140 199 
8 199 101 86 53 62 80 50 68 44 71 47 83 47 74 71 95 125 107 122 140 128 95 143 107 
9 199 56 59 56 56 62 53 98 80 65 80 50 80 71 89 134 104 74 83 113 110 104 131 128 
10 176 62 53 65 47 56 68 56 59 74 83 59 71 74 23 65 86 110 140 116 199 199 164 199 
11 199 53 116 59 53 107 65 80 59 83 80 53 77 86 86 199 83 95 128 199 116 137 101 199 
12 199 83 59 95 59 68 89 104 50 98 65 41 86 101 56 143 47 77 199 140 152 199 199 199 
13 199 62 65 56 56 71 68 56 29 86 50 56 53 110 104 80 80 95 199 86 119 92 199 199 
14 199 62 62 77 41 65 89 86 56 32 86 59 80 83 71 74 68 92 77 77 53 50 101 101 
15 119 50 59 53 41 56 74 38 71 65 71 59 65 77 47 74 71 77 110 199 98 158 199 86 
16 161 50 44 53 68 50 50 59 77 95 44 119 119 68 80 71 77 80 83 199 104 122 199 199 
17 134 41 104 53 86 68 74 56 32 122 80 80 77 68 68 71 167 86 98 199 199 199 199 199 
18 199 56 74 56 68 41 62 47 59 89 86 131 86 77 101 199 199 83 125 199 199 199 199 199 
19 194 89 65 80 62 68 59 53 59 56 71 35 71 32 71 53 71 71 116 101 104 158 191 146 
20 199 83 74 68 59 44 59 56 86 20 65 65 77 89 143 107 83 80 104 199 53 137 128 191 
21 199 65 77 50 53 77 86 101 74 50 56 71 83 92 89 20 71 122 68 125 89 110 199 137 
22 146 23 65 62 50 68 65 50 65 92 71 146 83 119 86 83 83 173 89 125 161 149 199 113 
23 155 50 56 53 50 62 41 62 77 65 80 62 29 86 125 86 113 74 199 89 59 199 199 199 
24 199 32 65 74 35 71 68 71 62 68 62 77 89 86 98 80 74 104 62 83 197 199 199 199 
25 137 65 53 29 53 80 38 56 44 47 44 77 77 119 80 167 146 110 188 98 101 199 143 199 
26 199 71 59 56 47 53 62 71 71 86 95 71 80 83 95 113 83 167 116 98 113 101 107 199 
27 199 92 50 20 44 65 68 62 74 65 62 74 74 74 83 77 199 104 86 199 104 149 199 199 
28 199 65 56 56 50 95 29 107 74 53 83 62 104 71 80 80 98 107 119 122 107 199 149 199 
29 199 62 101 32 74 74 65 74 101 68 92 56 59 179 77 86 65 179 199 104 104 199 199 158 
30 199 56 65 77 68 26 62 53 32 29 53 83 74 199 80 113 62 170 104 83 107 167 110 199 
31 170 47 62 56 50 44 38 56 41 56 65 77 86 86 29 83 89 23 197 199 116 131 199 199 
32 199 47 32 47 59 53 83 80 68 59 56 62 56 65 47 199 68 89 104 80 149 197 199 199 
33 199 74 53 53 74 65 44 50 65 83 50 68 50 74 65 56 140 77 98 199 116 137 199 152 
34 199 62 65 68 77 77 83 86 53 68 44 53 44 110 71 92 92 199 71 199 199 113 104 199 
35 199 65 59 56 71 62 80 14 65 68 71 155 83 199 71 77 29 113 101 101 199 199 199 119 
36 179 65 74 47 59 56 50 86 71 38 65 77 68 83 104 80 95 86 199 199 92 197 125 185 
37 185 53 50 53 44 56 47 59 68 71 62 68 83 83 92 86 95 199 199 199 89 199 104 176 
38 199 56 38 62 65 47 26 68 56 86 62 59 71 74 167 89 59 199 113 74 98 199 161 140 
39 199 86 71 86 77 71 59 65 62 71 83 38 53 68 71 86 98 92 104 38 116 158 116 199 
40 199 68 35 101 59 41 80 77 77 83 74 89 95 71 107 71 95 92 68 107 92 199 161 199 
