initNo 0.01 0.025 0.05 0.075 0.1 0.125 
0 167 89 119 68 71 86 
1 199 149 74 110 104 68 
2 199 119 134 107 128 122 
3 179 110 199 119 68 65 
4 199 199 179 80 71 68 
5 44 92 92 77 71 86 
6 185 125 86 110 59 77 
7 179 199 86 110 56 74 
8 131 199 86 62 92 80 
9 131 80 89 59 95 89 
10 199 89 167 104 86 83 
11 199 77 80 80 80 80 
12 101 199 68 86 50 77 
13 199 56 199 107 101 98 
14 199 131 95 125 74 53 
15 95 80 83 53 74 134 
16 199 92 137 107 86 80 
17 182 199 83 65 86 83 
18 199 149 74 68 65 74 
19 161 71 74 80 89 86 
20 128 170 170 92 83 86 
21 199 107 59 83 77 119 
22 199 185 53 116 92 110 
23 199 101 161 95 86 65 
24 113 131 110 98 98 74 
25 179 199 53 59 62 77 
26 161 53 89 125 68 110 
27 161 101 140 65 86 62 
28 176 199 83 83 173 89 
29 170 191 71 83 59 125 
30 125 179 134 110 134 131 
31 182 194 86 83 86 77 
32 140 65 77 149 80 86 
33 199 86 158 170 104 116 
34 199 188 59 86 86 83 
35 158 182 128 47 77 53 
36 110 80 77 80 74 50 
37 199 77 74 89 71 77 
38 179 140 83 77 68 62 
39 199 199 101 71 83 77 
40 143 140 89 80 77 56 
41 134 152 199 104 131 104 
42 199 125 80 86 89 65 
43 199 191 98 86 86 41 
44 122 89 188 77 98 122 
45 199 199 59 152 83 74 
46 199 98 143 80 128 71 
47 199 199 119 110 59 80 
48 199 89 83 134 92 77 
49 199 95 89 17 143 110 
50 199 167 89 53 104 95 
51 199 199 86 104 71 74 
52 197 199 131 86 98 86 
53 173 92 164 116 68 80 
54 182 104 140 83 59 86 
55 199 199 68 107 86 80 
56 119 86 86 89 71 74 
57 122 113 199 134 119 71 
58 113 199 68 113 131 107 
59 199 179 119 65 71 53 
60 149 122 86 77 68 92 
61 199 199 98 95 86 62 
62 199 113 167 95 80 86 
63 199 77 113 86 56 50 
64 199 199 119 71 95 83 
65 104 95 149 107 95 98 
66 128 199 125 59 86 59 
67 199 140 128 110 92 83 
68 199 146 199 131 89 77 
69 199 119 170 83 56 80 
70 101 89 89 86 101 65 
71 104 86 77 95 107 89 
72 199 161 167 80 89 83 
73 199 137 113 74 77 89 
74 146 89 83 65 137 86 
75 32 107 137 80 44 56 
76 199 176 86 68 86 62 
77 199 149 146 128 80 77 
78 199 104 86 68 92 101 
79 170 199 182 146 89 80 
80 199 71 161 113 47 83 
81 199 74 116 68 53 89 
82 199 65 56 86 128 56 
83 155 131 182 41 65 92 
84 137 185 98 65 71 41 
85 199 199 101 68 65 113 
86 199 113 71 53 152 95 
87 199 113 65 116 137 77 
88 155 98 137 95 62 86 
89 199 137 59 83 86 92 
90 199 107 125 59 83 125 
91 191 77 50 104 86 89 
92 199 65 158 104 71 122 
93 199 191 68 71 116 71 
94 113 98 98 68 62 98 
95 185 170 107 74 83 74 
