0 149 83 77 62 83 83 41 59 80 68 83 199 199 199 
1 89 68 44 59 77 65 59 53 65 56 68 80 155 199 
2 125 83 41 50 59 53 62 29 101 122 98 83 149 199 
3 125 44 65 50 32 74 110 68 71 59 50 98 199 199 
4 199 149 80 92 80 80 65 62 65 101 62 68 89 199 
5 113 95 68 89 59 59 107 8 80 68 86 74 110 199 
6 116 83 119 65 71 83 77 80 65 80 65 146 92 199 
7 101 80 68 35 71 98 59 59 47 68 68 50 199 199 
8 167 140 74 116 74 50 56 62 65 68 80 116 199 83 
9 176 65 65 68 65 74 71 71 89 59 80 113 83 199 
10 65 56 41 68 98 62 74 56 77 128 5 122 167 199 
11 199 98 53 47 59 26 65 74 113 62 59 89 199 199 
12 104 116 65 47 53 62 56 74 80 71 101 71 71 199 
13 199 161 74 56 71 50 68 62 62 74 41 92 170 158 
14 80 77 71 86 71 59 23 56 74 101 80 101 77 185 
15 56 56 47 35 26 62 32 56 59 155 50 77 32 199 
16 137 68 35 29 68 56 59 65 59 17 80 137 152 199 
17 113 80 65 62 74 53 53 95 59 80 77 74 89 47 
18 83 44 92 68 98 59 59 68 62 65 50 41 125 199 
19 89 62 74 65 50 65 59 44 59 23 74 98 89 199 
20 199 107 62 50 59 20 92 62 77 80 77 68 119 199 
21 80 92 65 62 83 68 47 107 71 71 62 95 68 199 
22 74 71 53 53 74 59 44 56 68 110 68 62 71 199 
23 80 38 59 17 65 74 74 65 59 59 62 71 98 199 
24 199 68 35 71 59 104 62 50 98 74 119 32 167 199 
25 44 56 65 59 71 53 38 77 77 47 38 113 68 65 
26 77 29 62 59 65 50 59 56 71 44 80 128 80 199 
27 176 59 74 56 65 71 50 59 65 59 59 68 74 199 
28 107 77 38 65 23 50 38 62 47 68 77 122 119 199 
29 182 134 71 68 65 101 71 47 68 62 74 122 155 199 
30 131 62 44 128 68 53 104 53 53 86 65 74 170 199 
31 86 65 68 83 62 47 53 50 59 80 95 59 199 199 
32 140 62 50 143 65 59 98 65 50 68 59 68 68 98 
33 98 65 98 53 53 56 80 44 86 41 83 77 173 199 
34 199 62 68 44 71 74 65 56 77 65 155 92 199 131 
35 86 65 80 65 50 80 65 74 74 59 92 83 47 140 
36 71 56 53 56 56 74 50 65 86 140 77 71 62 199 
37 104 59 56 68 53 65 59 56 74 56 65 62 98 143 
38 199 65 53 119 137 59 47 65 68 62 62 65 68 199 
39 197 65 83 59 74 83 59 50 35 95 86 92 143 92 
40 116 119 65 62 86 62 74 59 17 68 101 77 74 137 
41 119 59 41 71 56 53 20 68 74 62 65 65 119 199 
42 182 74 38 68 68 68 83 101 131 71 50 56 199 199 
43 107 59 41 59 47 44 35 68 65 59 74 68 131 199 
44 155 92 65 29 62 68 56 59 59 125 77 86 140 89 
45 110 59 65 71 83 68 59 56 56 62 77 80 167 199 
46 122 86 98 62 74 92 47 62 71 65 89 47 199 199 
47 89 38 56 98 56 29 62 59 50 50 44 80 199 122 
48 188 83 65 86 89 74 74 65 71 11 77 113 101 41 
49 119 77 59 53 50 92 56 44 47 68 65 101 137 59 
50 59 38 62 59 47 74 44 65 50 68 104 92 199 134 
