0 212 109 104 86 
1 125 89 98 90 
2 222 135 106 88 
3 218 75 150 88 
4 91 88 165 172 
5 226 159 109 99 
6 85 143 111 78 
7 127 120 68 156 
8 83 83 122 187 
9 98 128 132 173 
10 137 91 95 111 
11 206 152 121 133 
12 112 113 100 78 
13 76 113 85 102 
14 109 81 146 115 
15 83 128 96 150 
16 118 80 175 124 
17 75 183 94 113 
18 203 153 110 87 
19 141 154 252 186 
20 218 122 131 89 
21 248 181 109 112 
22 184 163 99 98 
23 67 81 73 87 
24 208 110 115 191 
25 113 142 163 84 
26 238 164 107 101 
27 149 94 94 108 
28 73 94 132 89 
29 177 98 137 113 
30 117 193 94 74 
31 96 75 97 92 
32 108 85 85 83 
33 96 97 111 63 
34 85 63 154 158 
35 84 74 98 134 
36 95 164 101 94 
37 234 114 134 89 
38 299 164 216 114 
39 110 126 97 99 
40 43 104 95 92 
41 105 283 108 91 
42 111 47 96 92 
43 145 104 85 85 
44 63 75 72 75 
45 141 117 86 82 
46 79 73 71 69 
47 119 88 132 142 
48 105 92 74 116 
49 82 59 73 143 
50 76 229 146 116 
51 112 85 91 88 
52 81 62 58 55 
53 88 69 54 72 
54 77 89 76 83 
55 168 95 84 64 
56 113 80 93 102 
57 141 116 108 105 
58 46 53 60 68 
59 140 121 114 94 
60 206 132 102 181 
61 213 162 170 113 
62 175 157 125 107 
63 112 174 115 120 
64 206 127 84 86 
65 89 136 81 76 
66 298 230 87 105 
67 85 83 80 98 
68 119 99 77 78 
69 220 84 95 94 
70 101 159 94 113 
71 73 66 139 90 
72 166 162 299 130 
73 176 93 80 150 
74 271 171 131 131 
75 147 85 131 72 
76 129 81 83 95 
77 66 141 114 152 
78 184 88 100 117 
79 122 86 63 56 
80 77 80 74 80 
81 126 132 85 132 
82 73 76 55 53 
83 212 132 135 92 
84 54 85 80 73 
85 97 71 78 78 
86 71 59 81 76 
87 138 100 80 76 
88 248 173 138 242 
89 135 125 81 171 
90 197 94 213 104 
91 98 98 279 128 
92 152 178 115 103 
93 44 38 148 110 
94 206 66 67 70 
95 293 176 76 99 
96 152 102 93 85 
97 77 50 136 185 
98 113 108 91 114 
99 42 52 58 108 
100 177 160 224 86 
101 121 74 62 66 
102 109 85 89 93 
103 97 78 74 137 
104 66 132 94 100 
105 236 116 139 139 
106 240 76 112 84 
107 191 105 75 109 
108 81 299 184 140 
109 94 96 80 82 
110 88 77 60 79 
111 119 100 80 84 
112 181 101 90 76 
113 283 185 133 120 
114 210 137 108 91 
115 213 120 80 89 
116 161 166 111 92 
117 53 62 69 100 
118 72 74 74 76 
119 127 103 118 96 
120 72 73 75 79 
121 169 94 92 73 
122 113 108 83 76 
123 88 88 83 86 
124 299 132 90 160 
125 81 80 78 74 
126 60 54 52 56 
127 212 70 72 78 
128 144 99 86 97 
129 222 133 113 121 
130 123 191 134 144 
131 83 76 83 90 
132 115 113 82 75 
133 56 57 98 184 
134 172 111 78 129 
135 181 160 226 158 
136 83 80 117 99 
137 96 72 86 91 
138 56 148 125 287 
139 40 113 97 107 
140 161 54 99 99 
141 114 71 110 86 
142 161 70 89 77 
143 87 87 91 117 
144 87 241 103 106 
145 69 239 160 102 
146 109 84 81 87 
147 197 136 234 139 
148 33 115 78 81 
149 131 124 99 191 
150 98 74 77 189 
151 159 93 72 78 
152 235 136 122 127 
153 117 109 83 75 
154 275 106 99 91 
155 125 87 63 68 
156 101 73 87 78 
157 130 100 91 81 
158 103 102 116 151 
159 299 141 101 105 
160 51 52 44 52 
161 125 122 104 99 
162 131 132 98 207 
163 210 120 102 103 
164 266 136 90 151 
165 120 148 91 68 
166 108 81 74 92 
167 106 113 139 104 
168 131 88 83 91 
169 138 186 88 80 
170 131 65 65 70 
171 122 83 73 74 
172 299 118 150 124 
173 127 299 275 114 
174 92 71 83 70 
175 148 112 70 107 
176 211 193 186 189 
177 81 67 65 70 
178 270 237 105 122 
179 126 110 69 78 
180 96 79 98 146 
181 43 116 96 76 
182 95 120 150 82 
183 274 209 230 125 
184 279 113 178 175 
185 145 80 85 93 
186 126 125 89 80 
187 207 202 182 83 
188 192 140 207 134 
189 230 130 174 299 
190 132 80 65 71 
191 103 91 90 79 
192 251 134 145 92 
193 154 78 77 84 
194 145 124 93 130 
195 71 70 63 51 
196 59 69 145 123 
197 171 210 95 123 
198 299 163 122 104 
199 140 97 79 299 
