0 199 101 101 74 47 62 47 74 59 62 56 35 59 53 65 41 71 83 89 74 110 155 155 134 
1 77 41 65 80 50 65 50 53 71 56 50 68 74 44 44 74 44 68 80 83 86 167 146 199 
2 131 80 50 41 77 59 74 68 71 38 71 56 59 62 53 26 89 50 59 62 92 149 140 199 
3 86 98 62 41 62 65 53 53 53 65 56 62 74 107 62 62 44 83 92 71 107 199 199 199 
4 137 98 68 62 47 32 80 86 59 56 71 53 41 41 68 38 56 65 74 74 80 131 199 199 
5 107 83 59 59 122 56 83 74 62 44 59 65 92 116 65 65 65 86 80 95 199 140 38 199 
6 194 65 101 80 74 80 53 74 62 77 74 65 74 29 68 68 62 59 74 71 98 128 170 199 
7 17 77 20 68 38 41 41 20 65 65 68 11 56 62 56 29 68 47 68 65 44 119 199 104 
8 125 62 71 68 53 65 80 56 77 65 62 65 80 62 74 83 110 98 92 74 29 92 80 182 
9 199 62 62 68 56 68 53 59 68 44 56 65 146 71 77 80 77 101 107 56 92 116 86 110 
10 199 131 65 62 74 56 74 68 47 62 26 74 68 14 80 86 68 89 74 77 101 199 199 199 
11 199 71 68 113 62 62 20 62 53 62 68 65 74 41 65 53 38 86 185 59 14 188 56 199 
12 199 122 89 68 47 56 50 47 56 59 62 56 62 65 62 89 68 26 101 86 74 128 199 199 
13 83 59 50 56 44 41 65 50 71 65 77 65 50 125 71 146 74 101 59 83 152 199 199 199 
14 68 68 59 74 74 77 62 53 56 56 59 77 77 53 80 167 74 86 89 116 185 104 199 199 
15 122 35 47 56 38 80 65 74 68 53 62 83 83 71 50 62 71 92 80 89 134 199 199 199 
16 86 26 65 68 59 65 68 62 65 50 65 56 68 62 47 68 80 89 86 110 167 119 179 199 
17 41 53 59 68 74 89 68 83 53 44 68 62 62 50 71 104 56 59 65 8 146 199 199 170 
18 155 53 89 71 71 62 47 32 68 107 62 65 65 59 50 59 65 71 116 71 116 68 101 199 
19 152 77 83 68 56 59 53 68 38 53 59 68 77 86 65 65 95 80 77 155 191 199 176 182 
20 125 65 56 17 62 62 47 59 89 65 59 68 53 26 59 65 80 77 62 71 71 199 140 199 
21 131 62 56 74 83 89 83 65 44 68 92 62 59 71 71 56 101 98 92 143 104 80 92 199 
22 95 77 59 35 50 68 53 41 59 50 47 59 98 71 29 83 83 77 35 68 134 149 199 199 
23 68 62 62 17 44 44 23 44 68 56 44 53 62 68 62 71 71 80 62 65 74 101 137 199 
24 161 65 59 53 44 38 77 59 56 53 44 56 62 50 74 23 80 161 98 86 74 149 110 104 
25 71 50 62 53 59 68 56 59 56 62 56 65 41 62 65 98 92 59 62 89 80 119 104 83 
26 65 56 59 68 62 47 59 59 53 59 59 62 65 89 62 74 32 62 95 53 113 161 199 158 
27 83 62 50 53 74 56 77 62 56 65 65 56 71 68 74 74 77 74 92 92 80 62 146 199 
28 104 53 41 62 68 62 68 62 62 80 65 50 44 68 50 71 56 92 80 65 199 199 199 199 
29 199 68 47 59 41 74 74 68 59 62 56 68 71 65 65 59 65 83 116 71 80 173 199 199 
30 125 53 56 38 47 38 71 53 107 56 50 59 38 71 59 71 71 71 77 122 179 161 104 185 
31 167 83 68 65 65 44 68 20 59 56 44 11 80 68 59 71 50 68 107 86 116 176 199 199 
32 146 74 62 47 65 29 83 71 44 41 59 62 59 71 68 65 68 83 59 107 50 71 77 119 
33 110 56 131 77 62 71 89 62 17 65 35 71 71 62 53 62 62 62 68 77 68 176 158 199 
34 98 41 53 59 53 71 59 68 56 68 53 89 68 62 65 83 74 98 38 92 104 199 199 199 
35 56 74 74 56 53 53 68 65 41 65 56 53 62 65 59 62 44 128 86 77 199 74 199 199 
36 199 83 65 65 83 68 56 77 77 65 65 146 56 77 89 95 107 71 86 77 122 179 199 199 
