0 212 109 104 86 97 80 78 81 74 77 99 
1 125 89 98 90 83 73 86 299 190 299 299 
2 222 135 106 88 84 88 103 118 272 223 299 
3 218 75 150 88 150 103 79 124 289 299 299 
4 91 88 165 172 70 68 69 75 299 78 299 
5 226 159 109 99 94 185 299 174 256 299 250 
6 85 143 111 78 76 106 135 299 299 299 123 
7 127 120 68 156 164 225 169 299 299 299 299 
8 83 83 122 187 80 299 178 189 299 299 298 
9 98 128 132 173 120 173 258 210 299 299 299 
10 137 91 95 111 221 148 164 135 105 299 299 
11 206 152 121 133 124 120 118 299 299 299 283 
12 112 113 100 78 76 80 76 299 86 299 299 
13 76 113 85 102 106 102 91 87 178 299 299 
14 109 81 146 115 100 99 239 84 102 299 299 
15 83 128 96 150 197 103 156 299 299 299 299 
16 118 80 175 124 127 207 117 113 299 299 299 
17 75 183 94 113 170 95 149 299 299 299 299 
18 203 153 110 87 80 76 81 299 299 124 299 
19 141 154 252 186 83 85 293 172 299 282 299 
20 218 122 131 89 93 103 145 299 140 270 299 
21 248 181 109 112 103 208 299 299 299 299 299 
22 184 163 99 98 97 145 227 299 299 299 299 
23 67 81 73 87 148 121 199 299 299 299 299 
24 208 110 115 191 136 198 102 218 204 270 299 
25 113 142 163 84 112 101 144 299 97 299 299 
26 238 164 107 101 105 154 147 253 299 299 299 
27 149 94 94 108 299 170 299 163 189 299 299 
28 73 94 132 89 85 172 129 150 76 125 299 
29 177 98 137 113 299 188 111 299 299 299 299 
30 117 193 94 74 83 88 84 299 299 299 299 
31 96 75 97 92 96 152 151 217 112 299 299 
32 108 85 85 83 171 77 110 299 299 299 299 
33 96 97 111 63 75 76 68 75 299 140 299 
34 85 63 154 158 130 144 299 299 299 116 299 
35 84 74 98 134 140 163 299 120 134 299 299 
36 95 164 101 94 90 114 171 72 299 162 299 
37 234 114 134 89 100 299 296 93 184 299 299 
38 299 164 216 114 115 214 96 299 291 299 299 
39 110 126 97 99 82 75 154 299 299 299 299 
40 43 104 95 92 63 171 116 264 154 299 299 
41 105 283 108 91 88 80 196 219 299 299 299 
42 111 47 96 92 103 107 72 78 77 299 299 
43 145 104 85 85 83 102 216 231 299 299 299 
44 63 75 72 75 75 81 80 141 156 299 299 
45 141 117 86 82 171 148 299 247 136 299 299 
46 79 73 71 69 79 83 299 190 299 299 299 
47 119 88 132 142 108 299 187 224 299 299 140 
48 105 92 74 116 130 111 262 172 134 299 299 
49 82 59 73 143 94 117 123 123 299 165 299 
50 76 229 146 116 180 216 299 299 299 299 299 
51 112 85 91 88 117 189 107 203 299 299 299 
52 81 62 58 55 89 161 222 121 299 253 299 
53 88 69 54 72 147 93 119 131 135 87 299 
54 77 89 76 83 87 76 237 299 162 299 299 
55 168 95 84 64 58 58 54 62 58 54 59 
56 113 80 93 102 89 159 78 299 149 299 76 
57 141 116 108 105 178 187 299 247 299 299 299 
58 46 53 60 68 67 79 66 73 103 239 299 
59 140 121 114 94 112 148 146 233 299 299 299 
60 206 132 102 181 131 157 211 139 299 299 299 
61 213 162 170 113 96 299 299 150 145 299 299 
62 175 157 125 107 88 227 108 213 299 188 299 
63 112 174 115 120 79 81 77 72 76 152 90 
64 206 127 84 86 136 98 96 72 99 299 299 
65 89 136 81 76 74 117 88 93 81 299 299 
66 298 230 87 105 62 98 108 81 299 256 65 
67 85 83 80 98 129 82 78 299 288 82 299 
68 119 99 77 78 80 75 78 66 73 161 299 
69 220 84 95 94 87 84 86 299 299 299 299 
70 101 159 94 113 89 105 98 183 299 299 160 
71 73 66 139 90 189 73 235 123 299 299 299 
72 166 162 299 130 122 129 102 111 299 299 299 
73 176 93 80 150 103 101 94 299 299 299 299 
74 271 171 131 131 128 125 235 252 299 299 299 
75 147 85 131 72 71 76 118 299 161 222 299 
76 129 81 83 95 78 80 77 107 299 299 299 
77 66 141 114 152 93 97 299 156 299 299 299 
78 184 88 100 117 105 72 71 77 85 283 299 
79 122 86 63 56 94 83 77 71 66 73 76 
80 77 80 74 80 123 81 149 164 226 299 299 
81 126 132 85 132 105 92 98 249 299 299 299 
82 73 76 55 53 53 53 51 58 54 51 59 
83 212 132 135 92 87 83 299 227 266 299 299 
84 54 85 80 73 70 131 156 299 148 299 299 
85 97 71 78 78 83 82 299 184 299 299 299 
86 71 59 81 76 77 69 66 59 60 67 64 
87 138 100 80 76 75 79 93 102 80 299 299 
88 248 173 138 242 101 89 124 299 299 99 299 
89 135 125 81 171 161 134 113 130 299 87 299 
90 197 94 213 104 144 208 187 242 233 299 299 
91 98 98 279 128 299 299 239 299 246 257 299 
92 152 178 115 103 125 143 299 299 117 299 299 
93 44 38 148 110 104 110 247 153 179 102 299 
94 206 66 67 70 71 105 235 114 299 299 299 
95 293 176 76 99 88 102 179 148 299 111 299 
96 152 102 93 85 159 99 98 157 299 286 299 
97 77 50 136 185 80 196 206 96 77 299 299 
98 113 108 91 114 100 74 257 77 299 299 299 
99 42 52 58 108 80 81 83 70 67 67 67 
100 177 160 224 86 93 140 299 299 177 102 299 
101 121 74 62 66 69 65 68 66 79 69 69 
102 109 85 89 93 73 270 88 299 133 299 299 
103 97 78 74 137 94 80 219 115 142 230 299 
104 66 132 94 100 121 299 299 299 66 299 299 
105 236 116 139 139 179 299 149 260 299 299 299 
106 240 76 112 84 85 80 84 100 84 299 299 
107 191 105 75 109 299 100 116 299 299 299 299 
108 81 299 184 140 141 151 232 158 165 299 299 
109 94 96 80 82 299 142 299 299 299 299 299 
110 88 77 60 79 62 181 108 299 239 198 299 
111 119 100 80 84 83 113 299 144 286 262 299 
112 181 101 90 76 154 84 177 299 299 299 299 
113 283 185 133 120 92 101 112 299 181 83 299 
114 210 137 108 91 106 129 161 91 299 299 299 
115 213 120 80 89 85 76 128 179 299 299 299 
116 161 166 111 92 147 133 299 299 299 227 299 
117 53 62 69 100 165 91 111 245 299 299 299 
118 72 74 74 76 159 117 160 299 137 163 299 
119 127 103 118 96 127 122 127 120 129 299 270 
120 72 73 75 79 105 185 211 299 299 144 299 
121 169 94 92 73 82 83 85 66 190 299 299 
122 113 108 83 76 69 76 253 299 299 299 299 
123 88 88 83 86 80 129 97 230 299 299 299 
124 299 132 90 160 103 137 141 299 237 299 299 
125 81 80 78 74 73 144 107 299 299 299 299 
126 60 54 52 56 98 127 158 299 299 299 299 
127 212 70 72 78 71 107 96 109 299 299 299 
128 144 99 86 97 149 114 165 256 209 299 84 
129 222 133 113 121 112 82 239 78 299 243 299 
130 123 191 134 144 97 86 141 238 299 299 299 
131 83 76 83 90 141 79 126 205 299 299 299 
132 115 113 82 75 129 101 200 98 239 299 299 
133 56 57 98 184 120 95 104 111 299 249 299 
134 172 111 78 129 85 104 132 226 137 299 299 
135 181 160 226 158 86 85 114 118 299 299 299 
136 83 80 117 99 90 132 137 299 299 299 299 
137 96 72 86 91 74 169 115 299 299 299 299 
138 56 148 125 287 111 181 157 299 64 66 299 
139 40 113 97 107 88 77 74 69 155 299 299 
140 161 54 99 99 127 85 101 142 299 299 299 
141 114 71 110 86 90 244 219 107 195 299 299 
142 161 70 89 77 77 93 206 96 299 299 299 
143 87 87 91 117 94 299 195 122 167 299 299 
144 87 241 103 106 135 295 299 92 244 299 299 
145 69 239 160 102 124 104 295 299 250 299 299 
146 109 84 81 87 64 299 178 144 107 299 299 
147 197 136 234 139 160 142 299 155 253 299 299 
148 33 115 78 81 76 276 127 299 299 299 299 
149 131 124 99 191 191 137 299 104 299 299 299 
150 98 74 77 189 125 120 111 70 57 299 76 
151 159 93 72 78 157 299 88 299 76 299 299 
152 235 136 122 127 201 127 187 137 87 299 299 
153 117 109 83 75 121 126 259 299 299 299 299 
154 275 106 99 91 85 95 261 100 99 121 299 
155 125 87 63 68 77 66 299 299 112 299 299 
156 101 73 87 78 132 225 299 182 79 299 299 
157 130 100 91 81 74 91 88 299 130 299 299 
158 103 102 116 151 106 83 83 299 239 299 299 
