0 299 299 163 120 136 170 299 299 299 299 299 
1 299 269 150 108 85 299 299 299 299 299 299 
2 208 109 66 178 132 104 86 73 64 57 160 
3 299 256 250 181 299 140 125 299 299 299 299 
4 299 141 89 66 53 299 299 299 299 299 299 
5 299 299 296 216 299 299 175 178 299 299 299 
6 141 299 299 238 192 163 155 299 299 299 299 
7 220 280 157 116 299 299 299 299 299 299 299 
8 258 299 244 299 147 299 299 186 299 299 299 
9 207 154 299 83 93 96 229 91 299 299 299 
10 261 299 299 299 161 134 136 123 299 299 299 
11 252 299 299 299 299 299 299 299 299 299 299 
12 219 103 60 46 39 36 39 299 299 299 299 
13 299 238 213 151 213 179 299 299 299 299 299 
14 299 250 299 299 299 299 299 219 299 299 299 
15 258 131 195 299 77 299 299 299 299 299 299 
16 191 95 57 44 38 36 39 34 73 299 299 
17 81 127 69 44 299 140 108 299 299 299 299 
18 234 108 61 44 36 31 299 299 299 299 299 
19 160 115 239 189 201 299 299 299 299 299 299 
20 299 299 299 299 90 299 299 299 299 299 299 
21 299 299 299 299 299 137 299 299 299 299 299 
22 299 290 165 121 156 299 299 51 299 72 299 
23 233 100 53 36 28 299 299 299 299 299 299 
24 299 299 299 216 173 299 299 299 299 299 299 
25 136 299 112 147 90 299 96 299 299 299 299 
26 299 299 299 237 299 299 299 299 299 299 299 
27 89 48 70 299 299 299 112 299 299 299 299 
28 178 83 299 165 164 146 299 299 299 299 299 
29 190 118 92 207 299 299 44 41 38 299 299 
30 299 267 142 99 78 57 98 77 299 299 299 
31 299 214 117 82 64 299 299 299 299 299 299 
32 299 199 161 125 299 299 299 299 299 299 299 
33 279 131 124 94 76 299 299 299 299 299 299 
34 251 152 299 200 205 299 299 299 299 299 299 
35 222 100 57 41 33 28 25 23 21 299 299 
36 253 299 194 142 67 55 299 299 299 299 299 
37 128 65 46 299 159 25 21 299 299 299 148 
38 299 299 216 299 299 299 299 299 299 299 299 
39 299 299 257 125 92 299 299 299 299 299 299 
40 134 70 289 299 189 299 299 299 299 299 299 
41 225 114 76 146 113 92 79 69 62 57 59 
42 272 119 65 46 36 31 114 101 299 70 299 
43 299 299 173 119 92 75 64 56 299 299 299 
44 299 171 97 70 55 103 299 299 299 299 299 
45 298 167 103 76 61 96 74 299 299 299 299 
46 197 100 65 52 299 299 299 299 299 299 299 
47 299 202 129 100 85 83 299 299 299 299 299 
48 241 106 59 190 191 125 299 299 299 299 299 
49 299 299 190 173 177 198 299 99 162 299 24 
50 97 61 57 51 46 69 299 299 299 299 299 
51 299 299 197 299 112 79 299 142 299 299 299 
52 299 191 107 77 62 52 46 299 299 299 299 
53 256 136 91 223 171 140 118 101 88 69 28 
54 234 140 94 84 81 299 299 299 299 299 299 
55 299 172 215 157 126 107 93 84 76 70 66 
56 299 299 191 131 101 82 69 60 299 299 299 
57 260 126 73 54 92 299 299 299 299 299 299 
58 239 128 84 67 58 52 49 47 47 34 31 
59 299 299 177 250 179 215 299 299 299 299 299 
60 299 180 116 184 299 299 299 299 299 299 299 
61 204 299 177 299 299 299 299 299 299 299 299 
62 299 299 201 239 228 152 299 299 299 299 299 
63 95 51 36 30 27 25 299 299 299 299 299 
64 299 299 299 214 299 299 299 299 299 299 299 
65 282 123 68 49 42 43 284 299 299 299 299 
66 299 280 151 106 83 69 299 299 299 299 299 
67 299 160 106 83 92 299 299 299 299 299 299 
68 299 299 199 141 111 92 299 299 299 299 299 
