0 119 71 89 83 92 50 74 59 113 199 199 
1 80 53 65 68 56 86 89 62 182 199 199 
2 199 86 35 68 62 47 41 68 62 199 199 
3 185 59 50 62 56 74 47 56 98 199 199 
4 199 35 20 65 80 74 74 53 80 199 199 
5 125 68 71 80 68 44 80 59 59 125 199 
6 155 92 65 80 77 65 59 107 128 140 199 
7 167 65 62 41 65 47 38 56 77 74 185 
8 101 116 59 101 62 50 50 101 77 116 199 
9 128 53 68 65 62 62 56 50 143 199 199 
10 80 47 65 125 41 86 101 59 56 199 199 
11 199 50 17 32 41 68 59 104 53 92 199 
12 107 17 38 50 41 65 65 65 71 113 199 
13 199 74 65 62 71 62 50 71 65 188 199 
14 89 11 77 68 71 86 53 59 65 104 199 
15 68 68 53 47 62 38 59 29 65 182 199 
16 199 83 56 53 44 71 71 29 125 134 199 
17 140 80 56 65 68 68 71 71 89 167 199 
18 128 68 50 56 83 86 50 44 62 92 199 
19 199 77 59 62 41 74 62 92 71 199 199 
20 199 83 65 50 44 53 68 68 95 199 199 
21 122 92 35 44 65 68 80 98 113 199 199 
22 95 89 65 68 62 35 62 74 122 199 199 
23 95 41 29 80 41 62 80 59 68 173 199 
24 199 116 41 95 71 44 74 44 74 164 199 
25 86 38 53 53 50 50 44 59 89 167 86 
26 83 44 95 62 101 65 62 62 86 199 199 
27 199 71 35 62 59 32 44 71 170 122 199 
28 128 59 53 74 38 65 44 62 89 199 199 
29 199 80 5 68 77 71 59 62 77 199 199 
30 191 71 92 41 56 65 65 62 86 194 199 
31 95 80 71 89 62 65 53 62 92 83 199 
32 128 101 47 56 65 59 50 68 110 8 194 
33 131 50 56 71 68 59 62 56 92 199 199 
34 107 62 77 53 77 50 71 74 86 199 199 
35 116 92 44 71 62 83 56 68 59 199 199 
36 107 71 62 62 68 68 68 62 53 197 199 
37 131 59 80 68 71 83 62 41 62 199 199 
38 128 62 47 47 32 53 50 74 83 199 199 
39 155 68 74 77 83 92 62 68 116 107 199 
40 137 56 68 38 71 44 59 83 83 197 199 
41 137 65 68 59 77 26 59 80 74 5 199 
42 137 98 59 80 62 65 68 65 41 199 199 
43 158 56 56 32 53 56 65 56 56 134 199 
44 188 83 74 80 62 68 74 56 71 143 199 
45 110 62 74 53 74 68 119 59 128 199 199 
46 149 53 62 62 56 50 56 65 170 86 199 
47 89 56 59 53 110 62 65 65 119 199 199 
48 199 68 74 74 92 77 65 74 89 199 199 
49 185 62 59 50 56 68 68 62 56 83 199 
50 68 59 62 62 68 44 59 59 110 199 199 
51 199 86 71 59 68 65 86 68 77 68 199 
52 131 59 56 59 56 89 53 65 83 199 199 
53 176 89 41 62 89 56 35 41 65 83 199 
54 199 122 68 47 41 38 59 80 101 122 199 
55 17 62 65 62 68 50 95 80 89 199 199 
56 92 110 56 77 62 77 71 80 107 131 199 
57 128 74 62 62 56 56 68 83 65 101 199 
58 173 56 65 65 38 38 44 41 59 197 131 
59 134 71 56 62 62 56 50 152 59 92 199 
60 179 56 47 62 47 56 50 71 140 199 199 
61 179 11 80 89 32 71 107 74 191 95 199 
62 83 56 68 74 44 68 68 77 77 199 199 
63 74 83 62 77 50 56 23 59 71 199 199 
64 199 77 83 62 74 68 56 50 199 101 199 
65 199 74 41 71 77 65 53 53 74 158 199 
66 137 71 62 47 77 50 65 59 110 199 199 
67 199 65 62 41 68 89 65 71 125 199 199 
68 199 53 83 35 65 47 50 65 110 83 199 
69 158 47 62 59 62 35 50 59 80 155 170 
70 199 92 50 68 56 65 65 56 71 50 199 
71 199 50 68 77 80 68 56 89 74 199 199 
72 101 56 68 71 77 59 59 107 140 110 199 
73 20 53 71 53 86 86 71 62 77 199 50 
74 107 29 59 53 59 53 44 59 62 65 199 
75 122 62 56 53 53 71 44 74 62 199 199 
76 194 77 83 77 80 77 68 71 83 199 8 
77 113 65 56 62 53 14 23 53 155 199 199 
78 199 68 50 38 74 44 68 59 53 185 199 
79 134 113 68 74 62 62 32 65 62 119 199 
80 199 65 71 68 47 50 122 62 65 199 199 
81 86 77 107 35 65 56 17 68 101 191 199 
82 134 56 53 74 86 50 62 71 140 140 199 
83 131 71 68 53 83 47 71 74 68 134 199 
84 164 59 59 56 50 65 74 44 77 199 199 
85 119 137 71 53 68 56 62 56 50 199 199 
86 92 74 62 95 38 59 53 56 62 199 199 
87 164 71 59 68 71 53 62 68 95 95 199 
88 199 68 65 77 41 77 5 62 62 107 199 
89 122 116 71 65 56 56 62 53 173 199 199 
90 199 71 89 71 32 86 56 71 62 62 199 
91 199 71 47 53 77 107 149 65 98 101 199 
92 104 44 62 65 74 62 47 68 65 86 199 
93 134 65 59 137 86 68 65 56 101 146 199 
94 149 47 62 50 71 41 77 77 125 199 199 
95 199 65 47 53 47 80 86 65 107 74 161 
96 191 56 47 62 62 68 65 65 71 199 199 
97 137 41 62 68 32 62 122 89 86 101 199 
98 128 77 65 116 53 38 62 65 86 199 199 
99 134 47 44 62 71 38 71 83 68 104 199 
100 86 29 113 59 65 65 65 68 77 143 199 
101 137 32 59 41 104 44 62 68 65 199 199 
102 86 50 59 32 50 56 53 155 77 199 199 
103 185 59 50 68 47 41 59 56 83 65 199 
104 143 53 56 65 47 98 32 65 119 80 199 
105 199 59 86 80 65 62 62 53 107 107 199 
106 128 56 77 98 77 62 50 11 35 179 199 
107 199 74 68 62 62 62 53 101 113 199 199 
108 199 59 68 41 41 47 56 50 80 176 199 
109 95 98 50 56 68 68 44 56 92 173 199 
110 143 89 38 95 53 59 62 56 146 199 199 
111 80 86 65 59 47 59 62 59 107 182 199 
112 140 104 68 68 62 62 71 65 146 199 199 
113 71 50 65 68 89 41 77 71 83 155 199 
114 170 56 59 62 38 47 71 35 86 92 199 
115 113 56 77 56 71 65 53 104 92 191 199 
116 107 74 47 68 92 29 65 77 68 199 199 
117 122 110 47 62 125 68 68 95 122 199 199 
118 98 65 68 59 65 65 74 47 182 199 199 
119 122 65 65 62 83 59 56 50 74 71 199 
120 152 113 62 71 68 50 56 59 56 158 199 
121 98 92 59 53 56 71 50 65 89 65 199 
122 199 68 47 62 62 65 62 62 80 199 199 
123 107 59 65 53 35 62 68 68 38 164 71 
124 188 77 83 26 71 56 80 65 80 107 199 
125 161 47 65 59 68 59 74 50 83 83 199 
126 134 47 56 74 80 68 74 59 80 199 199 
127 199 89 56 53 38 65 71 71 74 179 199 
128 101 62 68 77 86 68 80 68 89 199 131 
129 199 113 68 38 119 65 68 56 68 74 199 
130 194 68 74 47 74 59 83 59 137 110 199 
131 199 116 68 65 65 47 62 71 89 65 199 
132 140 71 59 74 71 44 83 80 77 122 199 
133 95 59 86 47 86 107 44 74 83 199 199 
134 199 68 56 53 77 62 47 86 95 199 188 
135 188 80 62 74 62 23 77 77 86 146 199 
136 199 68 68 74 62 53 59 122 92 110 199 
137 89 59 95 68 50 59 65 68 77 199 199 
138 199 92 44 65 47 83 59 113 62 143 199 
139 199 59 74 77 35 53 65 68 95 74 199 
140 86 62 65 62 59 56 50 71 65 140 199 
141 199 53 62 74 59 65 59 80 47 131 199 
142 134 59 89 62 56 95 53 71 110 199 199 
143 199 83 80 80 56 86 56 71 89 199 199 
144 98 62 53 71 53 71 41 59 101 128 199 
145 199 65 68 44 50 68 68 62 119 199 199 
146 155 71 71 56 74 32 53 71 47 62 199 
147 56 44 107 59 68 80 68 140 122 41 199 
148 199 44 29 59 68 29 17 59 80 137 199 
