initNo 0.109 0.11 0.111 0.112 
0 122 122 199 199 
1 199 122 125 176 
2 101 167 199 71 
3 71 95 116 149 
4 89 128 95 185 
5 122 155 149 128 
6 140 161 125 113 
7 110 182 116 98 
8 199 113 134 86 
9 146 199 170 74 
10 199 128 131 53 
11 77 116 104 110 
12 116 104 137 122 
13 199 170 107 164 
14 128 197 167 119 
15 74 119 137 191 
16 143 125 101 199 
17 199 158 167 140 
18 68 89 161 134 
19 86 113 107 164 
20 107 86 107 199 
21 116 182 197 140 
22 104 167 194 149 
23 104 134 125 134 
24 155 140 107 116 
25 199 199 173 155 
26 107 98 92 74 
27 104 113 74 199 
28 77 65 110 137 
29 146 199 113 197 
30 125 131 104 116 
31 161 98 191 199 
32 110 122 89 125 
33 83 143 113 98 
34 89 95 83 71 
35 110 80 161 131 
36 199 140 110 110 
37 197 194 113 122 
38 199 199 182 98 
39 167 110 122 113 
40 199 137 199 98 
41 125 80 107 143 
42 199 176 191 188 
43 191 113 143 199 
44 92 65 161 113 
45 107 77 95 107 
46 104 104 164 83 
47 110 98 89 137 
48 113 110 80 83 
49 86 89 199 92 
50 182 47 152 158 
51 131 176 199 137 
52 137 98 161 199 
53 116 119 152 92 
54 176 140 161 140 
55 199 179 131 199 
56 199 170 77 199 
57 137 128 199 110 
58 164 89 83 119 
59 119 119 110 107 
60 149 164 146 199 
61 113 98 122 149 
62 164 110 134 140 
63 107 74 98 104 
64 149 128 199 199 
65 113 116 122 158 
66 101 199 95 134 
67 98 104 116 113 
68 110 199 161 199 
69 146 128 199 128 
70 101 170 131 128 
71 86 131 77 143 
72 44 80 92 107 
73 146 95 122 104 
74 146 179 176 179 
75 134 104 176 152 
76 152 146 110 101 
77 122 110 113 92 
78 199 140 113 92 
79 92 199 146 128 
80 131 116 188 140 
81 134 122 131 92 
82 101 116 101 107 
83 89 170 125 104 
84 86 104 86 134 
85 143 167 199 199 
86 107 199 131 92 
87 146 199 86 122 
88 83 98 116 119 
89 113 134 101 155 
90 137 199 104 116 
91 134 199 80 199 
92 104 155 98 116 
93 176 98 164 199 
94 128 65 98 140 
95 92 134 140 161 
96 104 170 125 199 
97 185 113 98 125 
98 113 134 140 146 
99 113 155 83 92 
100 143 83 125 116 
101 125 143 107 199 
102 86 140 199 179 
103 92 98 116 104 
104 113 107 155 137 
105 185 77 98 143 
106 122 131 98 101 
107 143 119 107 143 
108 86 199 199 146 
109 131 128 131 89 
110 188 164 119 107 
111 83 98 143 116 
112 86 131 131 116 
113 149 167 167 158 
114 128 199 110 77 
115 199 101 113 113 
116 107 71 86 101 
117 98 146 199 199 
118 199 116 131 110 
119 146 107 107 116 
120 86 116 101 98 
121 152 199 134 119 
122 95 89 128 119 
123 95 134 128 110 
124 95 167 128 199 
125 98 98 116 68 
126 158 122 86 116 
127 110 155 197 119 
128 71 98 101 119 
129 92 95 101 98 
130 116 92 119 116 
131 98 131 122 98 
132 101 71 146 122 
133 199 140 199 149 
134 113 125 149 131 
135 95 158 131 116 
136 199 170 199 182 
137 155 95 170 116 
138 107 122 137 146 
139 125 140 199 146 
140 164 104 128 134 
141 119 199 119 83 
142 116 146 104 161 
143 95 167 113 104 
144 199 131 110 152 
145 101 113 146 89 
146 199 167 134 199 
147 104 116 199 143 
148 188 140 199 107 
149 104 128 107 98 
150 116 125 83 92 
151 170 199 56 89 
152 86 199 122 128 
153 125 104 125 161 
154 122 146 199 107 
155 113 107 110 149 
156 101 125 104 110 
157 92 116 122 98 
158 101 74 86 92 
159 107 98 104 199 
160 98 98 167 199 
161 101 110 101 104 
162 131 83 104 143 
163 137 101 161 110 
164 92 83 92 116 
165 134 95 74 199 
166 95 92 92 110 
167 143 83 104 89 
168 199 137 125 199 
169 170 188 146 164 
170 116 122 161 113 
171 131 83 98 86 
172 170 199 199 128 
173 71 137 116 86 
174 119 116 194 152 
175 107 152 122 119 
176 152 125 199 149 
177 68 199 149 83 
178 104 185 140 122 
179 104 56 134 199 
180 95 98 89 199 
181 107 98 161 83 
182 110 137 146 149 
183 71 95 119 68 
184 119 152 89 113 
185 125 92 98 134 
186 110 140 107 128 
187 101 113 83 113 
188 110 199 116 95 
189 149 95 197 107 
190 143 44 98 110 
191 116 125 182 191 
192 104 179 199 17 
193 122 107 146 149 
194 199 83 149 152 
195 161 113 86 128 
196 128 128 104 95 
197 119 199 92 164 
198 95 95 125 199 
199 143 152 170 199 
