0 199 199 131 86 62 41 50 35 29 35 53 191 122 77 62 53 53 62 35 32 56 29 119 83 68 62 71 53 53 104 89 80 41 134 107 71 47 56 89 71 62 65 59 83 
1 155 74 47 38 29 32 29 53 35 35 20 194 74 47 68 68 65 47 50 50 62 65 80 65 56 77 53 44 56 59 65 62 65 74 74 77 41 71 104 53 62 62 98 110 
2 122 86 199 176 137 125 98 83 125 62 41 194 199 74 65 56 50 32 65 47 32 71 199 107 98 80 86 95 101 89 35 86 65 125 77 59 86 80 122 65 89 89 83 137 
3 194 101 65 50 38 29 50 23 41 32 29 164 74 71 53 56 53 56 38 59 53 53 185 125 50 53 59 62 56 59 50 56 77 56 56 53 68 77 68 65 71 140 95 71 
4 194 104 65 53 44 41 41 41 53 47 47 199 199 161 134 119 110 56 89 50 47 71 199 199 101 113 35 77 74 71 20 65 32 77 47 86 83 86 62 74 71 74 101 110 
5 199 119 74 56 56 65 83 80 35 23 35 167 110 98 107 98 71 77 68 65 47 47 125 101 134 95 68 59 98 77 71 56 47 74 101 80 122 77 68 86 74 92 53 170 
6 199 199 149 113 101 83 104 68 23 56 50 188 107 41 74 74 95 83 74 74 71 74 155 71 47 38 92 80 65 71 65 68 65 53 44 44 104 59 38 56 83 86 83 107 
7 182 80 47 32 23 23 17 32 17 14 20 199 104 62 59 68 44 50 56 59 59 56 167 86 71 80 65 71 71 65 62 50 44 92 77 65 77 86 59 47 41 62 86 74 
8 146 71 41 32 29 26 20 23 29 35 23 199 107 41 134 101 98 86 74 86 86 92 101 199 161 89 116 80 71 65 59 50 59 68 71 74 65 77 62 71 101 113 101 101 
9 199 140 86 56 47 35 35 44 41 32 53 199 199 104 77 56 65 62 71 59 29 56 128 125 113 41 53 86 44 65 68 62 71 95 71 65 86 74 41 35 62 80 83 116 
10 176 83 44 35 26 17 23 26 47 35 29 176 80 71 56 62 59 41 50 53 71 65 80 74 53 17 47 23 59 77 65 65 56 62 38 26 35 71 110 59 86 89 86 104 
11 158 199 197 143 125 128 77 86 50 20 20 199 146 83 59 53 68 41 65 116 68 59 199 188 137 68 50 50 53 56 17 59 59 98 47 47 41 62 44 56 83 68 74 74 
12 199 199 155 113 86 68 41 35 29 29 26 199 194 125 95 83 77 80 56 59 65 44 107 53 74 71 17 65 50 65 38 41 50 140 23 77 59 74 80 83 74 74 80 101 
13 199 122 68 50 41 38 41 50 32 29 26 199 161 104 86 62 50 71 62 65 44 71 199 199 119 86 74 65 74 53 65 41 71 59 80 74 62 53 83 59 71 62 86 173 
14 149 68 41 65 35 32 32 26 38 44 38 199 95 71 50 62 59 68 50 62 41 62 89 71 77 92 11 62 65 77 77 125 95 53 65 41 74 65 113 77 74 113 89 65 
15 170 77 47 35 29 23 23 23 23 26 71 119 71 56 41 50 56 32 56 59 50 41 68 56 38 65 68 56 74 65 53 23 62 80 53 53 80 71 62 65 65 74 59 95 
16 199 122 89 62 44 41 32 59 41 38 26 161 71 71 68 50 65 83 59 44 59 77 199 164 47 41 83 23 56 41 56 56 44 98 71 47 74 77 89 77 53 137 74 86 
17 199 146 86 77 95 47 35 26 44 41 185 134 71 68 56 41 95 101 47 104 98 98 140 89 68 80 80 71 62 68 56 53 71 77 119 92 62 77 128 62 68 98 80 95 
