1 167 89 119 68 71 86 137 89 113 86 89 
2 199 149 74 110 104 68 71 38 74 77 77 
3 199 119 134 107 128 122 65 95 56 59 92 
4 179 110 199 119 68 65 53 80 101 47 83 
5 199 199 179 80 71 68 80 77 53 92 107 
6 44 92 92 77 71 86 65 77 122 107 122 
7 185 125 86 110 59 77 80 83 53 98 110 
8 179 199 86 110 56 74 98 98 71 80 68 
9 131 199 86 62 92 80 53 80 77 89 77 
10 131 80 89 59 95 89 77 83 83 71 71 
11 199 89 167 104 86 83 95 104 89 83 59 
12 199 77 80 80 80 80 101 62 110 71 68 
13 101 199 68 86 50 77 113 80 113 77 71 
14 199 56 199 107 101 98 86 125 74 101 92 
15 199 131 95 125 74 53 83 74 59 47 68 
16 95 80 83 53 74 134 68 68 35 80 65 
17 199 92 137 107 86 80 80 74 131 74 80 
18 182 199 83 65 86 83 83 131 71 110 68 
19 199 149 74 68 65 74 71 65 74 89 83 
20 161 71 74 80 89 86 95 119 68 101 92 
21 128 170 170 92 83 86 95 56 62 77 95 
22 199 107 59 83 77 119 98 113 83 80 125 
23 199 185 53 116 92 110 59 107 83 77 77 
24 199 101 161 95 86 65 44 116 95 68 80 
25 113 131 110 98 98 74 53 128 74 74 77 
26 179 199 53 59 62 77 56 71 98 128 80 
27 161 53 89 125 68 110 50 71 71 113 77 
28 161 101 140 65 86 62 71 113 65 80 92 
29 176 199 83 83 173 89 101 77 95 74 71 
30 170 191 71 83 59 125 53 92 77 80 74 
31 125 179 134 110 134 131 107 80 77 74 59 
32 182 194 86 83 86 77 80 62 101 65 71 
33 140 65 77 149 80 86 101 53 62 74 101 
34 199 86 158 170 104 116 89 71 107 68 83 
35 199 188 59 86 86 83 29 77 110 71 95 
36 158 182 128 47 77 53 80 53 83 86 74 
37 110 80 77 80 74 50 86 98 83 71 56 
38 199 77 74 89 71 77 86 95 65 74 86 
39 179 140 83 77 68 62 71 74 92 83 101 
40 199 199 101 71 83 77 59 53 86 104 95 
41 143 140 89 80 77 56 74 86 65 80 83 
42 134 152 199 104 131 104 122 80 77 53 74 
43 199 125 80 86 89 65 74 80 89 77 62 
44 199 191 98 86 86 41 116 71 98 119 44 
45 122 89 188 77 98 122 71 68 59 77 62 
46 199 199 59 152 83 74 86 80 59 65 89 
47 199 98 143 80 128 71 80 86 38 56 80 
48 199 199 119 110 59 80 74 62 104 89 95 
49 199 89 83 134 92 77 122 41 41 74 77 
50 199 95 89 17 143 110 128 50 71 89 83 
51 199 167 89 53 104 95 89 71 80 59 167 
52 199 199 86 104 71 74 80 71 101 80 68 
53 197 199 131 86 98 86 104 74 92 74 86 
54 173 92 164 116 68 80 77 92 83 95 98 
55 182 104 140 83 59 86 47 68 101 83 86 
56 199 199 68 107 86 80 56 95 80 50 95 
57 119 86 86 89 71 74 62 59 74 113 56 
58 122 113 199 134 119 71 125 74 101 74 122 
59 113 199 68 113 131 107 56 86 47 80 74 
60 199 179 119 65 71 53 95 107 68 77 83 
61 149 122 86 77 68 92 68 50 71 83 131 
62 199 199 98 95 86 62 74 83 50 80 77 
63 199 113 167 95 80 86 137 95 131 74 74 
64 199 77 113 86 56 50 59 98 59 86 89 
65 199 199 119 71 95 83 83 86 62 86 80 
66 104 95 149 107 95 98 77 128 98 71 71 
67 128 199 125 59 86 59 107 56 41 71 86 
68 199 140 128 110 92 83 83 77 101 53 86 
69 199 146 199 131 89 77 80 131 80 86 95 
70 199 119 170 83 56 80 44 95 137 95 98 
71 101 89 89 86 101 65 71 89 74 77 74 
72 104 86 77 95 107 89 68 89 68 62 116 
73 199 161 167 80 89 83 74 98 83 80 104 
74 199 137 113 74 77 89 50 77 86 86 77 
75 146 89 83 65 137 86 44 77 74 92 89 
76 32 107 137 80 44 56 110 119 110 86 89 
77 199 176 86 68 86 62 77 53 74 65 80 
78 199 149 146 128 80 77 77 77 74 65 83 
79 199 104 86 68 92 101 65 77 86 134 56 
80 170 199 182 146 89 80 62 53 116 59 74 
81 199 71 161 113 47 83 68 86 98 98 107 
82 199 74 116 68 53 89 89 86 134 80 77 
83 199 65 56 86 128 56 71 89 89 74 119 
84 155 131 182 41 65 92 68 65 86 50 71 
85 137 185 98 65 71 41 71 68 83 50 83 
