0 68 59 64 64 76 68 66 62 51 62 60 69 56 57 137 199 199 71 199 199 199 
1 83 78 67 61 60 59 67 60 54 131 94 68 148 114 123 66 199 199 199 199 199 
2 42 60 85 70 62 63 75 83 60 72 124 108 58 88 199 199 199 162 199 199 199 
3 50 61 55 47 74 59 51 50 57 45 84 65 66 199 64 94 199 199 199 199 199 
4 50 55 42 50 48 54 52 49 48 55 60 57 54 59 50 100 199 143 178 199 61 
5 51 34 85 75 78 87 79 80 79 70 97 119 199 98 104 199 199 199 134 199 199 
6 64 64 53 57 52 52 61 54 54 54 106 116 199 199 116 199 113 199 87 199 199 
7 82 77 71 65 80 80 86 81 165 136 84 199 150 199 199 199 199 82 199 199 199 
8 33 80 58 57 65 74 161 102 71 110 199 199 76 112 199 199 199 199 199 199 199 
9 42 96 92 64 66 85 96 192 77 75 75 96 114 63 199 169 129 184 199 199 199 
10 37 37 87 112 126 105 109 107 102 95 100 199 60 53 199 189 128 199 199 199 199 
11 66 64 52 64 60 85 86 93 199 199 159 122 199 174 173 199 71 199 199 199 199 
12 58 55 49 54 54 50 54 71 102 85 64 160 84 199 199 184 125 199 199 84 199 
13 69 58 53 90 64 68 59 61 63 59 63 199 116 58 64 199 199 199 199 199 199 
14 51 54 51 61 64 67 68 79 76 80 87 199 81 132 199 199 199 118 199 199 199 
15 64 57 59 74 94 70 115 70 71 111 100 199 199 67 90 143 199 199 199 199 199 
16 26 67 57 95 63 89 102 199 123 199 153 199 199 136 109 199 199 199 133 199 199 
17 98 74 72 64 60 59 55 104 88 64 130 118 69 199 199 60 199 199 199 199 199 
18 54 44 93 81 83 76 83 80 74 71 75 199 159 52 199 153 199 168 199 199 199 
19 47 96 99 73 80 110 73 67 56 73 87 100 115 173 199 199 199 199 128 100 199 
20 78 75 59 59 60 65 61 88 184 89 187 199 190 149 199 199 166 199 199 199 199 
21 89 66 74 66 102 100 76 85 70 72 85 130 199 81 96 171 199 199 199 199 199 
22 125 97 80 69 65 70 67 64 70 68 82 80 199 78 199 199 106 137 199 199 199 
23 57 53 48 53 50 60 50 51 107 72 71 74 181 106 111 199 199 199 199 199 199 
24 24 74 81 69 72 68 71 69 74 69 79 142 104 98 174 199 199 199 119 199 199 
25 76 71 99 65 65 74 74 74 68 110 62 77 53 199 112 199 98 199 199 199 199 
26 113 92 101 83 110 79 82 91 47 122 70 104 107 147 100 127 199 199 199 199 199 
27 57 78 64 63 65 55 57 67 78 108 82 76 199 165 199 199 197 199 199 199 199 
28 52 51 53 130 79 86 84 62 129 69 55 92 199 76 199 199 186 199 199 199 199 
29 24 27 70 56 77 72 90 67 61 63 57 57 55 54 55 60 199 100 199 199 199 
30 63 49 54 60 60 60 141 88 150 63 77 133 68 199 199 199 199 199 199 199 199 
31 51 46 48 56 49 49 33 46 49 58 60 77 70 51 199 137 199 199 161 199 199 
32 84 69 60 59 60 63 73 58 199 94 114 199 83 199 112 199 199 199 199 199 199 
33 45 36 48 45 49 49 45 58 91 75 56 80 192 63 199 58 66 158 199 199 199 
34 44 37 83 80 82 87 77 81 82 126 85 60 100 79 90 199 199 167 199 199 143 
35 59 106 84 83 84 95 199 95 117 148 199 159 139 137 199 125 147 199 199 69 66 
36 54 54 52 57 57 58 57 63 52 65 63 52 79 80 77 80 199 199 155 199 199 
37 53 74 73 79 75 60 65 72 60 44 58 66 199 199 64 110 107 114 118 199 199 
38 64 48 129 91 96 91 120 84 102 117 97 80 199 117 199 197 189 134 199 199 199 
39 73 76 58 50 58 57 72 98 90 70 178 65 97 73 199 199 199 136 199 199 199 
40 38 36 59 47 34 53 53 55 132 52 78 95 89 148 101 199 136 199 199 199 199 
41 17 12 36 32 99 36 34 125 159 106 151 96 62 86 143 199 182 199 199 199 199 
42 111 93 55 48 35 55 46 46 43 42 45 46 40 53 58 53 199 199 199 51 199 
43 103 73 108 78 74 65 109 146 105 103 199 199 199 199 199 93 199 199 199 193 199 
44 93 70 56 48 54 57 53 53 49 52 54 45 97 69 99 199 199 199 199 199 199 
45 73 60 56 51 59 47 45 68 63 54 72 150 99 69 80 199 199 199 199 199 199 
46 64 55 57 62 62 65 66 197 199 74 91 119 199 199 94 199 199 156 199 199 199 
47 79 55 83 70 78 54 59 51 72 71 93 199 143 191 199 174 199 199 199 199 199 
48 93 74 85 92 77 99 103 116 83 104 174 56 136 102 199 199 199 199 199 199 199 
49 34 85 91 74 55 65 60 62 67 56 133 60 65 72 153 188 199 199 199 199 199 
50 63 60 58 50 56 52 60 51 119 66 51 68 93 199 199 136 199 199 199 199 199 
51 94 61 56 81 93 63 199 73 87 77 199 98 144 76 199 199 96 90 176 199 199 
52 47 40 38 27 32 39 17 106 141 143 81 199 79 199 199 199 199 199 173 199 199 
53 63 51 37 32 30 39 33 42 40 43 43 46 48 48 199 199 199 108 199 199 199 
54 46 46 47 46 50 42 41 72 39 75 135 183 126 170 108 199 190 199 199 199 199 
55 31 40 33 17 28 26 43 37 34 199 117 121 199 128 199 199 199 199 199 128 199 
56 129 77 54 68 59 56 46 57 56 75 199 80 170 121 51 199 157 165 199 199 199 
57 55 69 66 59 65 53 55 51 199 90 72 157 141 199 199 199 199 199 199 199 199 
58 48 48 40 50 49 44 40 42 41 42 42 38 36 113 48 46 199 44 42 47 44 
59 67 49 44 51 50 55 52 51 64 61 48 60 109 199 104 76 199 199 199 66 199 
60 98 85 77 69 60 52 48 58 58 72 61 57 98 199 55 199 104 199 199 199 199 
61 101 86 63 86 68 94 63 64 100 199 199 89 74 68 199 199 199 199 199 178 199 
62 49 96 79 78 64 71 65 116 65 104 77 126 198 199 199 157 157 199 199 199 199 
63 42 46 51 47 44 44 51 44 61 63 59 63 83 79 72 61 66 67 199 199 199 
64 74 76 68 67 61 57 65 69 56 55 61 64 65 64 59 87 199 199 199 199 199 
