0 45 59 69 
1 98 72 56 
2 36 92 84 
3 74 48 49 
4 69 56 51 
5 21 13 75 
6 79 62 57 
7 50 90 39 
8 43 48 50 
9 47 109 61 
10 16 19 74 
11 61 75 61 
12 74 57 56 
13 35 83 70 
14 57 58 58 
15 59 53 78 
16 13 64 55 
17 50 84 61 
18 57 41 100 
19 41 76 66 
20 68 107 80 
21 97 88 90 
22 75 97 80 
23 45 54 53 
24 88 106 68 
25 95 68 50 
26 83 102 90 
27 73 57 61 
28 38 55 46 
29 31 77 70 
30 47 59 62 
31 61 42 54 
32 77 58 65 
33 48 33 49 
34 18 47 33 
35 58 42 40 
36 61 48 45 
37 97 68 68 
38 94 62 54 
39 81 101 71 
40 42 50 50 
41 17 11 98 
42 53 44 46 
43 11 81 65 
44 62 48 53 
45 59 54 48 
46 48 37 47 
47 63 50 51 
48 81 62 60 
49 42 29 46 
50 50 53 65 
51 54 54 59 
52 30 41 51 
53 59 48 49 
54 50 54 49 
55 31 36 32 
56 100 57 61 
57 69 75 55 
58 45 27 48 
59 125 44 57 
60 9 68 72 
61 95 76 78 
62 111 75 67 
63 40 54 99 
64 13 48 62 
65 65 60 60 
66 28 30 55 
67 66 60 63 
68 72 62 53 
69 58 58 58 
70 66 58 67 
71 46 46 45 
72 61 88 61 
73 84 65 61 
74 43 39 97 
75 84 56 54 
76 59 60 53 
77 63 115 86 
78 51 61 51 
79 37 23 35 
80 54 57 56 
81 40 62 50 
82 24 42 36 
83 56 81 65 
84 27 21 50 
85 73 42 61 
86 34 47 37 
87 98 61 52 
88 113 120 73 
89 60 69 67 
90 62 81 68 
91 40 34 120 
92 44 77 76 
93 14 26 20 
94 52 49 53 
95 50 53 52 
96 69 72 57 
97 31 33 35 
98 66 56 57 
99 22 34 35 
100 50 86 82 
101 49 37 48 
102 85 57 49 
103 60 65 63 
104 45 35 42 
105 64 37 50 
106 33 43 44 
107 35 83 63 
108 53 54 85 
109 47 43 60 
110 54 51 43 
111 105 65 61 
112 64 78 60 
113 43 57 113 
114 51 105 86 
115 56 68 56 
116 78 71 74 
117 43 45 43 
118 54 55 52 
119 48 73 89 
120 49 51 54 
121 131 71 80 
122 78 56 57 
123 80 60 59 
124 81 103 93 
125 59 53 56 
126 32 33 28 
127 50 54 55 
128 37 66 59 
129 153 102 66 
130 107 113 62 
131 45 55 50 
132 86 69 64 
133 33 44 43 
134 93 58 59 
135 83 85 79 
136 68 63 61 
137 87 53 53 
138 43 36 37 
139 25 38 32 
140 17 45 34 
141 92 60 64 
142 43 57 52 
143 79 60 71 
144 65 61 56 
145 40 82 59 
146 66 57 45 
147 47 54 54 
148 11 8 41 
149 96 77 65 
150 75 54 29 
151 129 61 60 
152 28 128 95 
153 73 60 55 
154 60 51 66 
155 34 52 34 
156 82 52 58 
157 88 73 65 
158 90 73 94 
159 29 115 99 
160 30 21 23 
161 28 114 76 
162 110 102 85 
163 146 93 68 
164 45 37 66 
165 23 25 26 
166 55 54 56 
167 78 66 84 
168 64 64 61 
169 114 74 64 
170 63 40 45 
171 68 35 58 
172 61 81 59 
173 64 76 81 
174 70 51 61 
175 25 85 44 
176 66 58 48 
177 31 53 43 
178 117 99 82 
179 51 48 54 
180 78 52 65 
181 37 34 65 
182 70 71 50 
183 51 51 92 
184 44 91 85 
185 81 61 61 
186 54 67 52 
187 20 79 68 
188 33 21 89 
189 70 50 55 
190 46 48 46 
191 75 67 62 
192 49 41 47 
193 49 47 57 
194 112 97 74 
195 49 43 44 
196 36 33 47 
197 11 101 78 
198 38 129 84 
199 64 68 55 
